PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Caris LeVert	ATL	ATL vs. MIL	03/04/2025	L	29	21	8	13	61.5	2	4	50.0	3	3	100	0	3	3	4	1	0	0	1	5	33.6
Clint Capela	ATL	ATL vs. MIL	03/04/2025	L	21	8	4	8	50.0	0	0	-	0	0	-	4	4	8	1	2	2	0	4	3	31.1
Onyeka Okongwu	ATL	ATL vs. MIL	03/04/2025	L	27	6	3	7	42.9	0	1	0.0	0	0	-	3	6	9	2	1	2	1	4	-9	27.8
Zaccharie Risacher	ATL	ATL vs. MIL	03/04/2025	L	25	7	3	10	30.0	1	6	16.7	0	1	0.0	0	4	4	0	0	0	0	1	-6	11.8
Dyson Daniels	ATL	ATL vs. MIL	03/04/2025	L	34	16	7	14	50.0	2	4	50.0	0	2	0.0	0	9	9	6	2	0	3	2	-14	38.8
Georges Niang	ATL	ATL vs. MIL	03/04/2025	L	23	8	3	11	27.3	2	8	25.0	0	0	-	1	2	3	2	0	0	0	3	3	14.6
Terance Mann	ATL	ATL vs. MIL	03/04/2025	L	21	12	4	7	57.1	4	6	66.7	0	0	-	1	3	4	4	1	1	3	1	7	25.8
Mouhamed Gueye	ATL	ATL vs. MIL	03/04/2025	L	25	15	5	7	71.4	4	6	66.7	1	2	50.0	2	3	5	1	2	1	0	3	-10	31.5
Trae Young	ATL	ATL vs. MIL	03/04/2025	L	35	28	9	24	37.5	1	6	16.7	9	9	100	0	2	2	13	1	0	4	2	-9	48.9
Dominick Barlow	ATL	ATL @ MEM	03/03/2025	W	13	6	2	3	66.7	0	1	0.0	2	2	100	1	1	2	0	0	0	0	1	-3	8.4
Dyson Daniels	ATL	ATL @ MEM	03/03/2025	W	33	14	6	10	60.0	0	0	-	2	4	50.0	0	3	3	7	3	0	2	5	16	35.1
Onyeka Okongwu	ATL	ATL @ MEM	03/03/2025	W	32	16	8	12	66.7	0	1	0.0	0	2	0.0	5	7	12	2	1	1	1	3	11	38.4
Caris LeVert	ATL	ATL @ MEM	03/03/2025	W	32	25	11	19	57.9	3	8	37.5	0	0	-	2	1	3	5	3	1	2	2	13	46.1
Zaccharie Risacher	ATL	ATL @ MEM	03/03/2025	W	32	27	11	13	84.6	5	7	71.4	0	0	-	1	0	1	0	4	1	2	2	-7	41.2
Garrison Mathews	ATL	ATL @ MEM	03/03/2025	W	14	11	4	6	66.7	3	5	60.0	0	1	0.0	0	2	2	1	0	2	0	3	-8	20.9
Terance Mann	ATL	ATL @ MEM	03/03/2025	W	29	7	3	6	50.0	1	2	50.0	0	0	-	2	0	2	3	0	1	0	3	-3	16.9
Trae Young	ATL	ATL @ MEM	03/03/2025	W	36	12	5	17	29.4	0	2	0.0	2	2	100	0	2	2	15	0	0	5	2	5	31.9
Clint Capela	ATL	ATL @ MEM	03/03/2025	W	16	11	4	7	57.1	0	0	-	3	6	50.0	2	2	4	1	1	1	0	2	-9	23.3
Zaccharie Risacher	ATL	ATL vs. OKC	02/28/2025	L	32	12	4	10	40.0	2	6	33.3	2	4	50.0	1	8	9	2	0	0	7	4	-11	18.8
Onyeka Okongwu	ATL	ATL vs. OKC	02/28/2025	L	35	23	9	12	75.0	1	2	50.0	4	4	100	2	11	13	2	0	1	3	4	-2	41.6
Trae Young	ATL	ATL vs. OKC	02/28/2025	L	35	19	5	14	35.7	2	5	40.0	7	7	100	0	3	3	12	3	0	3	1	-4	46.6
Georges Niang	ATL	ATL vs. OKC	02/28/2025	L	28	14	4	12	33.3	3	9	33.3	3	4	75.0	0	4	4	2	0	0	0	1	-5	21.8
Caris LeVert	ATL	ATL vs. OKC	02/28/2025	L	27	23	9	16	56.3	3	9	33.3	2	2	100	0	3	3	3	2	0	3	1	-5	34.1
Mouhamed Gueye	ATL	ATL vs. OKC	02/28/2025	L	10	2	1	2	50.0	0	0	-	0	0	-	0	1	1	0	0	2	0	1	-14	9.2
Dyson Daniels	ATL	ATL vs. OKC	02/28/2025	L	32	10	5	10	50.0	0	0	-	0	2	0.0	1	3	4	3	2	2	1	1	-7	30.3
Terance Mann	ATL	ATL vs. OKC	02/28/2025	L	26	13	5	9	55.6	3	4	75.0	0	0	-	4	1	5	3	0	0	1	1	-17	22.5
Clint Capela	ATL	ATL vs. OKC	02/28/2025	L	11	0	0	2	0.0	0	0	-	0	0	-	2	2	4	0	0	0	1	0	-13	3.8
Onyeka Okongwu	ATL	ATL @ MIA	02/26/2025	L	32	13	6	15	40.0	1	2	50.0	0	1	0.0	5	4	9	3	1	2	2	1	-3	35.3
