PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Ziaire Williams	BKN	BKN @ SAS	03/04/2025	L	20	7	2	7	28.6	1	5	20.0	2	2	100	2	1	3	1	0	0	1	2	-30	11.1
Jalen Wilson	BKN	BKN @ SAS	03/04/2025	L	22	13	4	7	57.1	3	5	60.0	2	2	100	0	0	0	1	0	0	1	1	0	13.5
Tyrese Martin	BKN	BKN @ SAS	03/04/2025	L	23	9	4	8	50.0	1	5	20.0	0	0	-	1	2	3	3	0	0	1	2	-21	16.1
D'Angelo Russell	BKN	BKN @ SAS	03/04/2025	L	25	12	4	11	36.4	2	8	25.0	2	2	100	1	0	1	4	1	1	1	0	7	24.2
Nic Claxton	BKN	BKN @ SAS	03/04/2025	L	32	6	3	7	42.9	0	0	-	0	2	0.0	2	5	7	4	2	0	2	2	-17	24.4
Cameron Johnson	BKN	BKN @ SAS	03/04/2025	L	31	17	6	10	60.0	3	6	50.0	2	2	100	1	2	3	4	1	0	2	1	-19	27.6
Day'Ron Sharpe	BKN	BKN @ SAS	03/04/2025	L	16	2	1	2	50.0	0	0	-	0	0	-	1	3	4	0	0	1	0	4	3	9.8
Cam Thomas	BKN	BKN @ SAS	03/04/2025	L	26	24	8	19	42.1	4	13	30.8	4	4	100	0	1	1	6	0	0	1	0	-4	33.2
Trendon Watford	BKN	BKN @ SAS	03/04/2025	L	23	12	4	8	50.0	1	2	50.0	3	4	75.0	3	7	10	5	3	0	2	2	18	38.5
Keon Johnson	BKN	BKN @ SAS	03/04/2025	L	18	8	2	5	40.0	1	4	25.0	3	3	100	0	7	7	1	1	0	2	2	-13	18.9
Keon Johnson	BKN	BKN @ DET	03/01/2025	L	30	10	3	15	20.0	2	9	22.2	2	2	100	4	4	8	2	1	1	3	2	-19	25.6
Jalen Wilson	BKN	BKN @ DET	03/01/2025	L	26	14	3	5	60.0	1	2	50.0	7	8	87.5	0	3	3	3	0	0	0	2	9	22.1
Maxwell Lewis	BKN	BKN @ DET	03/01/2025	L	10	3	1	4	25.0	1	2	50.0	0	0	-	1	2	3	0	0	0	0	2	-10	6.6
Cameron Johnson	BKN	BKN @ DET	03/01/2025	L	30	13	3	20	15.0	0	10	0.0	7	8	87.5	1	3	4	0	1	0	3	2	-17	17.8
