PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Jusuf Nurkić	CHA	CHA vs. GSW	03/03/2025	L	15	5	1	3	33.3	0	2	0.0	3	6	50.0	1	4	5	2	0	1	1	2	0	16.0
DaQuan Jeffries	CHA	CHA vs. GSW	03/03/2025	L	16	0	0	5	0.0	0	2	0.0	0	0	-	2	3	5	0	0	0	0	2	0	6.0
Nick Smith Jr.	CHA	CHA vs. GSW	03/03/2025	L	29	6	3	12	25.0	0	8	0.0	0	0	-	0	0	0	1	1	0	3	3	-23	7.5
Damion Baugh	CHA	CHA vs. GSW	03/03/2025	L	28	6	3	10	30.0	0	5	0.0	0	0	-	0	2	2	6	0	0	1	3	-5	16.4
Mark Williams	CHA	CHA vs. GSW	03/03/2025	L	31	12	5	8	62.5	0	0	-	2	4	50.0	2	11	13	1	1	2	1	0	-18	37.1
Miles Bridges	CHA	CHA vs. GSW	03/03/2025	L	34	35	11	20	55.0	4	9	44.4	9	9	100	1	8	9	3	0	2	3	2	-20	53.3
LaMelo Ball	CHA	CHA vs. GSW	03/03/2025	L	34	25	8	21	38.1	4	9	44.4	5	8	62.5	2	7	9	7	1	1	6	4	0	46.3
Josh Green	CHA	CHA vs. GSW	03/03/2025	L	26	2	0	3	0.0	0	2	0.0	2	3	66.7	0	1	1	0	0	0	0	2	-16	3.2
Tidjane Salaün	CHA	CHA vs. GSW	03/03/2025	L	15	10	3	3	100	3	3	100	1	3	33.3	0	2	2	0	0	0	1	0	2	11.4
Josh Green	CHA	CHA vs. WAS	03/01/2025	L	32	13	5	10	50.0	3	6	50.0	0	2	0.0	2	2	4	5	3	1	0	2	-10	37.3
Mark Williams	CHA	CHA vs. WAS	03/01/2025	L	34	24	11	14	78.6	0	0	-	2	2	100	2	10	12	3	1	2	3	3	-6	48.9
Moussa Diabaté	CHA	CHA vs. WAS	03/01/2025	L	13	4	2	5	40.0	0	0	-	0	0	-	0	2	2	1	2	0	0	0	-9	13.9
Tidjane Salaün	CHA	CHA vs. WAS	03/01/2025	L	15	0	0	3	0.0	0	2	0.0	0	0	-	0	2	2	0	0	0	0	0	9	2.4
DaQuan Jeffries	CHA	CHA vs. WAS	03/01/2025	L	11	2	1	3	33.3	0	2	0.0	0	0	-	0	1	1	1	0	0	1	2	-13	3.7
Damion Baugh	CHA	CHA vs. WAS	03/01/2025	L	20	5	2	6	33.3	1	4	25.0	0	0	-	2	3	5	2	3	1	0	0	-7	26.0
LaMelo Ball	CHA	CHA vs. WAS	03/01/2025	L	32	20	7	19	36.8	5	13	38.5	1	1	100	1	6	7	3	0	0	6	4	6	26.9
Miles Bridges	CHA	CHA vs. WAS	03/01/2025	L	36	18	7	16	43.8	3	6	50.0	1	1	100	4	3	7	7	0	1	2	1	-19	37.9
Nick Smith Jr.	CHA	CHA vs. WAS	03/01/2025	L	38	12	5	16	31.3	2	9	22.2	0	0	-	0	4	4	4	0	0	3	2	-14	19.8
KJ Simpson	CHA	CHA @ DAL	02/27/2025	L	31	11	5	10	50.0	1	3	33.3	0	0	-	1	3	4	5	2	0	2	0	-8	27.3
Nick Smith Jr.	CHA	CHA @ DAL	02/27/2025	L	33	12	5	14	35.7	2	5	40.0	0	0	-	1	2	3	7	0	0	0	2	-10	26.1
Mark Williams	CHA	CHA @ DAL	02/27/2025	L	31	26	10	18	55.6	0	0	-	6	7	85.7	4	12	16	3	0	1	3	5	-2	49.7
Josh Green	CHA	CHA @ DAL	02/27/2025	L	36	7	2	6	33.3	2	5	40.0	1	2	50.0	0	2	2	2	0	0	0	3	-7	12.4
DaQuan Jeffries	CHA	CHA @ DAL	02/27/2025	L	17	6	2	8	25.0	0	3	0.0	2	2	100	2	6	8	0	0	0	1	1	3	14.6
Damion Baugh	CHA	CHA @ DAL	02/27/2025	L	22	2	1	8	12.5	0	2	0.0	0	0	-	1	1	2	2	0	0	3	0	-5	4.4
Moussa Diabaté	CHA	CHA @ DAL	02/27/2025	L	13	8	4	7	57.1	0	0	-	0	1	0.0	4	2	6	0	1	0	1	2	-6	17.2
Miles Bridges	CHA	CHA @ DAL	02/27/2025	L	40	20	9	24	37.5	2	8	25.0	0	0	-	0	12	12	6	0	1	4	3	-4	42.4
Seth Curry	CHA	CHA @ DAL	02/27/2025	L	14	0	0	1	0.0	0	1	0.0	0	1	0.0	0	2	2	0	0	0	0	0	3	2.4
Seth Curry	CHA	CHA @ GSW	02/25/2025	L	17	14	5	10	50.0	4	6	66.7	0	1	0.0	1	1	2	1	1	1	1	1	-13	22.9
KJ Simpson	CHA	CHA @ GSW	02/25/2025	L	36	16	7	18	38.9	1	7	14.3	1	1	100	4	2	6	2	2	0	3	1	-30	29.2
Nick Smith Jr.	CHA	CHA @ GSW	02/25/2025	L	33	9	3	11	27.3	1	8	12.5	2	2	100	0	2	2	2	1	1	2	4	-18	18.4
Wendell Moore Jr.	CHA	CHA @ GSW	02/25/2025	L	28	12	5	8	62.5	2	4	50.0	0	0	-	5	5	10	0	0	0	3	2	-19	21.0
Josh Green	CHA	CHA @ GSW	02/25/2025	L	25	6	2	4	50.0	2	3	66.7	0	0	-	0	1	1	3	1	1	0	0	-13	17.7
Miles Bridges	CHA	CHA @ GSW	02/25/2025	L	26	9	2	11	18.2	0	5	0.0	5	6	83.3	1	6	7	2	0	0	6	2	-29	14.4
Moussa Diabaté	CHA	CHA @ GSW	02/25/2025	L	23	5	1	2	50.0	0	0	-	3	4	75.0	2	3	5	3	0	2	1	1	-18	20.5
Mark Williams	CHA	CHA @ GSW	02/25/2025	L	25	12	6	12	50.0	0	0	-	0	0	-	4	8	12	0	0	3	3	3	-18	32.4
Damion Baugh	CHA	CHA @ GSW	02/25/2025	L	29	9	2	13	15.4	1	7	14.3	4	4	100	1	4	5	5	2	0	5	1	-22	23.5
Tidjane Salaün	CHA	CHA @ SAC	02/24/2025	L	23	4	1	5	20.0	0	3	0.0	2	2	100	3	0	3	0	0	1	2	1	-22	8.6
Moussa Diabaté	CHA	CHA @ SAC	02/24/2025	L	21	12	5	10	50.0	0	0	-	2	4	50.0	5	2	7	0	2	0	1	1	-23	25.4
Wendell Moore Jr.	CHA	CHA @ SAC	02/24/2025	L	12	4	1	2	50.0	0	1	0.0	2	2	100	0	1	1	1	1	0	0	2	-13	9.7
