PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Zach Collins	CHI	CHI vs. CLE	03/04/2025	L	28	20	10	16	62.5	0	2	0.0	0	0	-	4	8	12	2	3	1	1	4	-22	48.4
Jevon Carter	CHI	CHI vs. CLE	03/04/2025	L	16	3	1	5	20.0	1	5	20.0	0	0	-	0	2	2	3	1	1	0	1	1	15.9
Dalen Terry	CHI	CHI vs. CLE	03/04/2025	L	16	4	2	5	40.0	0	2	0.0	0	0	-	0	1	1	2	0	0	0	3	-9	8.2
Matas Buzelis	CHI	CHI vs. CLE	03/04/2025	L	31	17	7	17	41.2	1	7	14.3	2	2	100	3	4	7	3	0	1	0	5	-19	32.9
Coby White	CHI	CHI vs. CLE	03/04/2025	L	39	25	9	23	39.1	3	12	25.0	4	5	80.0	0	4	4	7	2	1	2	0	-19	47.3
Talen Horton-Tucker	CHI	CHI vs. CLE	03/04/2025	L	31	22	9	18	50.0	3	6	50.0	1	2	50.0	1	3	4	6	0	0	2	3	-9	33.8
Jalen Smith	CHI	CHI vs. CLE	03/04/2025	L	18	13	4	7	57.1	2	4	50.0	3	4	75.0	1	10	11	0	0	1	0	1	3	29.2
Tre Jones	CHI	CHI vs. CLE	03/04/2025	L	34	9	4	9	44.4	1	2	50.0	0	2	0.0	1	7	8	7	0	1	2	0	-26	30.1
Julian Phillips	CHI	CHI vs. CLE	03/04/2025	L	20	4	1	4	25.0	0	2	0.0	2	2	100	0	0	0	1	0	0	0	4	-1	5.5
Josh Giddey	CHI	CHI @ IND	03/02/2025	L	34	18	5	15	33.3	0	4	0.0	8	11	72.7	3	6	9	7	0	0	2	1	-21	37.3
Jalen Smith	CHI	CHI @ IND	03/02/2025	L	18	10	4	7	57.1	2	3	66.7	0	0	-	2	4	6	2	2	0	1	2	5	25.2
Coby White	CHI	CHI @ IND	03/02/2025	L	34	26	10	18	55.6	4	9	44.4	2	2	100	1	6	7	1	1	0	3	2	4	35.9
Jevon Carter	CHI	CHI @ IND	03/02/2025	L	14	2	1	3	33.3	0	1	0.0	0	0	-	0	1	1	1	1	0	0	2	-10	7.7
Matas Buzelis	CHI	CHI @ IND	03/02/2025	L	30	18	8	16	50.0	2	6	33.3	0	0	-	2	4	6	3	1	1	1	2	-24	34.7
Dalen Terry	CHI	CHI @ IND	03/02/2025	L	19	2	1	5	20.0	0	2	0.0	0	0	-	0	1	1	1	0	0	1	1	-18	3.7
Tre Jones	CHI	CHI @ IND	03/02/2025	L	27	11	5	6	83.3	0	0	-	1	1	100	0	0	0	6	0	0	1	3	-10	19.0
Talen Horton-Tucker	CHI	CHI @ IND	03/02/2025	L	15	6	3	6	50.0	0	1	0.0	0	0	-	0	3	3	1	1	2	0	2	12	20.1
Zach Collins	CHI	CHI @ IND	03/02/2025	L	29	16	6	9	66.7	2	5	40.0	2	2	100	2	3	5	2	0	0	3	1	-20	22.0
Julian Phillips	CHI	CHI @ IND	03/02/2025	L	20	3	1	3	33.3	0	2	0.0	1	2	50.0	2	2	4	0	0	1	0	1	7	10.8
Kevin Huerter	CHI	CHI vs. TOR	02/28/2025	W	28	15	4	10	40.0	4	8	50.0	3	3	100	0	1	1	2	1	1	0	1	13	25.2
Jalen Smith	CHI	CHI vs. TOR	02/28/2025	W	13	4	2	7	28.6	0	4	0.0	0	0	-	2	4	6	1	1	1	1	2	-18	17.7
Tre Jones	CHI	CHI vs. TOR	02/28/2025	W	12	10	4	6	66.7	0	1	0.0	2	2	100	1	0	1	2	1	0	0	1	0	17.2
Matas Buzelis	CHI	CHI vs. TOR	02/28/2025	W	25	10	4	8	50.0	0	4	0.0	2	2	100	0	4	4	3	0	0	3	1	-11	16.3
Coby White	CHI	CHI vs. TOR	02/28/2025	W	37	24	8	19	42.1	2	9	22.2	6	6	100	0	4	4	3	4	0	2	2	11	43.3
