PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Jarrett Allen	CLE	CLE @ CHI	03/04/2025	W	30	25	10	11	90.9	0	0	-	5	5	100	3	14	17	3	2	0	1	1	22	54.9
Max Strus	CLE	CLE @ CHI	03/04/2025	W	25	11	4	7	57.1	3	6	50.0	0	0	-	2	1	3	5	0	0	0	2	26	22.1
De'Andre Hunter	CLE	CLE @ CHI	03/04/2025	W	24	6	2	7	28.6	0	2	0.0	2	2	100	0	5	5	0	0	1	0	0	12	15.0
Darius Garland	CLE	CLE @ CHI	03/04/2025	W	30	19	7	22	31.8	5	11	45.5	0	0	-	0	3	3	7	1	0	1	0	22	35.1
Javonte Green	CLE	CLE @ CHI	03/04/2025	W	18	11	4	5	80.0	2	3	66.7	1	3	33.3	1	5	6	2	0	0	1	2	24	20.2
Donovan Mitchell	CLE	CLE @ CHI	03/04/2025	W	28	28	7	17	41.2	1	6	16.7	13	14	92.9	1	6	7	5	1	0	1	3	6	45.9
Ty Jerome	CLE	CLE @ CHI	03/04/2025	W	23	16	3	10	30.0	1	6	16.7	9	9	100	1	2	3	2	0	0	2	2	-10	20.6
Dean Wade	CLE	CLE @ CHI	03/04/2025	W	20	6	2	7	28.6	2	7	28.6	0	0	-	2	2	4	0	0	1	2	1	-5	11.8
Isaac Okoro	CLE	CLE @ CHI	03/04/2025	W	20	4	2	4	50.0	0	1	0.0	0	0	-	0	1	1	1	0	0	0	3	8	6.7
Sam Merrill	CLE	CLE @ CHI	03/04/2025	W	15	11	4	6	66.7	3	5	60.0	0	0	-	0	2	2	0	0	2	0	0	-4	19.4
Ty Jerome	CLE	CLE vs. POR	03/02/2025	W	35	25	8	17	47.1	2	4	50.0	7	7	100	1	4	5	6	6	0	1	2	14	57.0
Darius Garland	CLE	CLE vs. POR	03/02/2025	W	39	13	4	16	25.0	2	7	28.6	3	4	75.0	1	1	2	7	1	0	2	4	-10	26.9
De'Andre Hunter	CLE	CLE vs. POR	03/02/2025	W	32	32	8	15	53.3	5	9	55.6	11	12	91.7	2	5	7	0	1	0	1	4	3	42.4
Max Strus	CLE	CLE vs. POR	03/02/2025	W	36	14	5	15	33.3	4	11	36.4	0	0	-	2	6	8	3	2	0	2	5	0	32.1
Jarrett Allen	CLE	CLE vs. POR	03/02/2025	W	26	12	5	7	71.4	0	0	-	2	2	100	3	7	10	4	1	2	2	2	-12	37.0
Evan Mobley	CLE	CLE vs. POR	03/02/2025	W	32	20	6	14	42.9	1	3	33.3	7	10	70.0	2	6	8	3	0	1	4	6	-1	33.1
Sam Merrill	CLE	CLE vs. POR	03/02/2025	W	21	9	3	7	42.9	3	7	42.9	0	0	-	1	1	2	1	1	0	0	1	18	15.9
Isaac Okoro	CLE	CLE vs. POR	03/02/2025	W	19	3	1	3	33.3	1	3	33.3	0	0	-	1	2	3	0	0	1	0	2	-2	9.6
Dean Wade	CLE	CLE vs. POR	03/02/2025	W	20	5	2	3	66.7	1	2	50.0	0	0	-	0	1	1	1	0	0	0	1	9	7.7
Donovan Mitchell	CLE	CLE @ BOS	02/28/2025	W	35	41	13	26	50.0	5	12	41.7	10	11	90.9	0	3	3	5	1	0	2	1	0	53.1
Isaac Okoro	CLE	CLE @ BOS	02/28/2025	W	12	5	2	4	50.0	1	3	33.3	0	0	-	0	3	3	0	0	1	0	1	3	11.6
Darius Garland	CLE	CLE @ BOS	02/28/2025	W	32	20	9	23	39.1	2	7	28.6	0	0	-	1	2	3	7	0	0	1	0	-17	33.1
De'Andre Hunter	CLE	CLE @ BOS	02/28/2025	W	29	12	4	6	66.7	3	3	100	1	2	50.0	0	5	5	1	0	1	1	1	21	21.5
Max Strus	CLE	CLE @ BOS	02/28/2025	W	22	2	1	3	33.3	0	2	0.0	0	0	-	1	3	4	2	0	0	0	2	-19	9.8
Jarrett Allen	CLE	CLE @ BOS	02/28/2025	W	24	10	4	4	100	0	0	-	2	2	100	3	1	4	1	1	0	1	2	-23	18.3
Ty Jerome	CLE	CLE @ BOS	02/28/2025	W	21	8	3	10	30.0	2	3	66.7	0	0	-	1	3	4	3	1	0	0	0	34	20.3
Evan Mobley	CLE	CLE @ BOS	02/28/2025	W	29	17	6	12	50.0	2	5	40.0	3	4	75.0	5	7	12	3	0	1	2	4	2	36.9
Dean Wade	CLE	CLE @ BOS	02/28/2025	W	19	5	2	5	40.0	1	3	33.3	0	0	-	1	2	3	1	0	0	0	2	12	10.1
Sam Merrill	CLE	CLE @ BOS	02/28/2025	W	18	3	1	1	100	1	1	100	0	0	-	2	1	3	0	1	0	0	1	22	9.6
Isaac Okoro	CLE	CLE @ ORL	02/25/2025	W	24	8	2	4	50.0	2	2	100	2	2	100	2	2	4	2	1	1	0	2	25	21.8
Max Strus	CLE	CLE @ ORL	02/25/2025	W	21	17	6	9	66.7	5	7	71.4	0	0	-	1	0	1	2	1	0	1	1	14	23.2
Jarrett Allen	CLE	CLE @ ORL	02/25/2025	W	25	8	4	7	57.1	0	0	-	0	0	-	1	6	7	1	0	1	0	0	15	20.9
Donovan Mitchell	CLE	CLE @ ORL	02/25/2025	W	23	11	5	12	41.7	1	4	25.0	0	0	-	1	2	3	5	0	0	2	1	16	20.1
Craig Porter Jr.	CLE	CLE @ ORL	02/25/2025	W	11	2	1	3	33.3	0	1	0.0	0	0	-	0	2	2	5	0	1	1	0	8	13.9
Evan Mobley	CLE	CLE @ ORL	02/25/2025	W	28	17	6	9	66.7	1	2	50.0	4	6	66.7	1	7	8	2	0	2	3	0	19	32.6
Sam Merrill	CLE	CLE @ ORL	02/25/2025	W	19	5	1	4	25.0	1	4	25.0	2	2	100	0	2	2	1	0	0	0	2	18	8.9
Dean Wade	CLE	CLE @ ORL	02/25/2025	W	19	5	2	3	66.7	1	1	100	0	0	-	1	6	7	2	2	0	1	2	23	21.4
Ty Jerome	CLE	CLE @ ORL	02/25/2025	W	21	20	7	12	58.3	4	6	66.7	2	2	100	0	2	2	2	1	0	3	3	20	25.4
De'Andre Hunter	CLE	CLE @ ORL	02/25/2025	W	27	17	5	8	62.5	4	5	80.0	3	4	75.0	0	3	3	2	0	0	0	1	19	23.6
