PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Kessler Edwards	DAL	DAL vs. SAC	03/03/2025	L	22	6	3	3	100	0	0	-	0	0	-	2	2	4	4	0	0	0	1	-12	16.8
Kai Jones	DAL	DAL vs. SAC	03/03/2025	L	34	21	9	10	90.0	0	0	-	3	4	75.0	2	6	8	0	0	1	1	2	-9	32.6
Naji Marshall	DAL	DAL vs. SAC	03/03/2025	L	30	18	7	13	53.8	0	3	0.0	4	4	100	1	4	5	6	2	0	1	1	-3	38.0
Danté Exum	DAL	DAL vs. SAC	03/03/2025	L	22	5	2	10	20.0	1	3	33.3	0	0	-	0	0	0	4	0	0	4	2	-17	7.0
Klay Thompson	DAL	DAL vs. SAC	03/03/2025	L	25	3	1	4	25.0	1	3	33.3	0	0	-	0	3	3	0	0	0	2	1	-30	4.6
Spencer Dinwiddie	DAL	DAL vs. SAC	03/03/2025	L	27	10	2	12	16.7	1	5	20.0	5	6	83.3	0	3	3	6	1	0	3	3	-7	22.6
Olivier-Maxence Prosper	DAL	DAL vs. SAC	03/03/2025	L	17	8	1	3	33.3	1	3	33.3	5	6	83.3	0	4	4	1	0	0	0	1	-5	14.3
Max Christie	DAL	DAL vs. SAC	03/03/2025	L	29	10	4	11	36.4	1	5	20.0	1	1	100	0	5	5	4	1	0	1	0	-11	24.0
Jaden Hardy	DAL	DAL vs. SAC	03/03/2025	L	16	8	3	6	50.0	2	4	50.0	0	0	-	1	1	2	2	1	0	0	1	-10	16.4
Dwight Powell	DAL	DAL vs. SAC	03/03/2025	L	10	2	1	1	100	0	0	-	0	0	-	1	1	2	0	0	0	0	1	-10	4.4
Klay Thompson	DAL	DAL vs. MIL	03/01/2025	L	29	16	5	14	35.7	4	9	44.4	2	2	100	0	2	2	5	1	0	2	2	1	26.9
Kyrie Irving	DAL	DAL vs. MIL	03/01/2025	L	38	31	9	23	39.1	2	9	22.2	11	11	100	4	1	5	3	1	0	2	1	-11	42.5
Naji Marshall	DAL	DAL vs. MIL	03/01/2025	L	30	7	3	7	42.9	0	4	0.0	1	1	100	1	3	4	4	4	0	3	1	-3	26.8
Moses Brown	DAL	DAL vs. MIL	03/01/2025	L	22	18	8	9	88.9	0	0	-	2	2	100	3	6	9	0	0	0	0	5	-18	28.8
P.J. Washington	DAL	DAL vs. MIL	03/01/2025	L	15	4	2	8	25.0	0	4	0.0	0	1	0.0	0	5	5	0	0	0	1	3	-21	9.0
Danté Exum	DAL	DAL vs. MIL	03/01/2025	L	11	4	1	3	33.3	0	0	-	2	2	100	0	1	1	0	0	0	1	4	-2	4.2
Dwight Powell	DAL	DAL vs. MIL	03/01/2025	L	12	2	1	1	100	0	0	-	0	1	0.0	0	3	3	3	0	1	1	2	-4	12.1
Spencer Dinwiddie	DAL	DAL vs. MIL	03/01/2025	L	20	12	5	9	55.6	0	3	0.0	2	5	40.0	0	0	0	3	0	0	1	2	-14	15.5
Jaden Hardy	DAL	DAL vs. MIL	03/01/2025	L	22	16	6	10	60.0	4	7	57.1	0	0	-	0	1	1	4	0	0	0	2	3	23.2
Max Christie	DAL	DAL vs. MIL	03/01/2025	L	27	5	2	6	33.3	1	4	25.0	0	0	-	0	2	2	3	1	0	0	1	-13	14.9
Olivier-Maxence Prosper	DAL	DAL vs. MIL	03/01/2025	L	14	2	1	1	100	0	0	-	0	0	-	0	1	1	0	0	0	0	0	7	3.2
Max Christie	DAL	DAL vs. CHA	02/27/2025	W	34	8	3	8	37.5	2	3	66.7	0	0	-	0	4	4	4	1	0	0	1	10	21.8
Naji Marshall	DAL	DAL vs. CHA	02/27/2025	W	33	3	1	11	9.1	0	6	0.0	1	2	50.0	2	7	9	6	0	0	2	1	8	20.8
