PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Cade Cunningham	DET	DET @ UTA	03/03/2025	W	30	29	12	24	50.0	1	8	12.5	4	4	100	0	1	1	9	4	0	6	4	16	49.7
Ausar Thompson	DET	DET @ UTA	03/03/2025	W	30	17	7	7	100	0	0	-	3	3	100	2	4	6	5	3	1	0	1	20	43.7
Dennis Schröder	DET	DET @ UTA	03/03/2025	W	17	7	3	8	37.5	1	4	25.0	0	1	0.0	1	2	3	4	0	1	1	2	4	18.6
Jalen Duren	DET	DET @ UTA	03/03/2025	W	30	16	5	5	100	0	0	-	6	8	75.0	1	11	12	2	2	4	3	2	31	48.4
Ronald Holland II	DET	DET @ UTA	03/03/2025	W	18	8	2	2	100	0	0	-	4	6	66.7	0	1	1	2	0	0	0	3	3	12.2
Paul Reed	DET	DET @ UTA	03/03/2025	W	17	6	3	4	75.0	0	0	-	0	0	-	2	2	4	2	1	1	0	3	-2	19.8
Malik Beasley	DET	DET @ UTA	03/03/2025	W	33	15	6	17	35.3	3	14	21.4	0	0	-	0	1	1	1	0	0	0	4	22	17.7
Simone Fontecchio	DET	DET @ UTA	03/03/2025	W	22	10	4	9	44.4	2	5	40.0	0	2	0.0	0	4	4	1	2	1	1	1	6	24.3
Tim Hardaway Jr.	DET	DET @ UTA	03/03/2025	W	31	13	4	10	40.0	1	6	16.7	4	4	100	2	5	7	3	2	0	1	2	29	30.9
Isaiah Stewart	DET	DET vs. BKN	03/01/2025	W	14	3	1	4	25.0	0	0	-	1	2	50.0	1	3	4	1	0	4	3	5	-9	18.3
Simone Fontecchio	DET	DET vs. BKN	03/01/2025	W	14	0	0	2	0.0	0	2	0.0	0	0	-	1	2	3	3	1	0	1	2	-7	10.1
Ausar Thompson	DET	DET vs. BKN	03/01/2025	W	23	13	6	9	66.7	0	0	-	1	2	50.0	1	4	5	3	0	1	1	3	20	25.5
Ronald Holland II	DET	DET vs. BKN	03/01/2025	W	16	10	4	4	100	0	0	-	2	2	100	0	2	2	2	1	0	1	1	-7	17.4
Tobias Harris	DET	DET vs. BKN	03/01/2025	W	32	18	6	12	50.0	1	2	50.0	5	5	100	0	9	9	2	1	0	2	2	28	32.8
Dennis Schröder	DET	DET vs. BKN	03/01/2025	W	18	7	3	5	60.0	1	3	33.3	0	0	-	0	2	2	5	0	1	2	2	0	17.9
Tim Hardaway Jr.	DET	DET vs. BKN	03/01/2025	W	22	9	3	9	33.3	3	9	33.3	0	0	-	0	1	1	2	0	0	0	2	16	13.2
Cade Cunningham	DET	DET vs. BKN	03/01/2025	W	32	15	4	9	44.4	2	3	66.7	5	6	83.3	2	5	7	9	0	2	5	4	27	37.9
Jalen Duren	DET	DET vs. BKN	03/01/2025	W	30	18	6	7	85.7	0	0	-	6	6	100	1	10	11	2	2	6	3	5	29	55.2
Malik Beasley	DET	DET vs. BKN	03/01/2025	W	24	18	6	10	60.0	5	8	62.5	1	2	50.0	0	0	0	1	0	0	2	0	4	17.5
Cade Cunningham	DET	DET vs. DEN	02/28/2025	L	28	11	3	12	25.0	0	2	0.0	5	5	100	0	3	3	5	2	0	2	3	-19	26.1
Tobias Harris	DET	DET vs. DEN	02/28/2025	L	26	12	5	10	50.0	2	4	50.0	0	0	-	1	1	2	3	1	0	1	2	-28	20.9
Jalen Duren	DET	DET vs. DEN	02/28/2025	L	16	8	3	5	60.0	0	0	-	2	4	50.0	3	5	8	2	1	0	1	4	-16	22.6
Simone Fontecchio	DET	DET vs. DEN	02/28/2025	L	13	12	4	7	57.1	1	3	33.3	3	4	75.0	0	0	0	0	1	0	0	0	13	15.0
Ausar Thompson	DET	DET vs. DEN	02/28/2025	L	26	13	6	11	54.5	0	0	-	1	2	50.0	3	1	4	5	5	0	1	0	-30	39.3
Ronald Holland II	DET	DET vs. DEN	02/28/2025	L	20	8	3	5	60.0	0	1	0.0	2	2	100	1	3	4	1	0	1	0	3	6	17.3
Paul Reed	DET	DET vs. DEN	02/28/2025	L	12	8	4	6	66.7	0	0	-	0	0	-	1	3	4	2	2	0	0	1	5	21.8
Malik Beasley	DET	DET vs. DEN	02/28/2025	L	26	16	6	18	33.3	4	11	36.4	0	0	-	1	3	4	3	2	0	0	2	3	31.3
Dennis Schröder	DET	DET vs. DEN	02/28/2025	L	24	8	3	7	42.9	2	4	50.0	0	0	-	3	3	6	7	1	0	3	1	-5	25.7
Isaiah Stewart	DET	DET vs. DEN	02/28/2025	L	20	7	2	2	100	1	1	100	2	4	50.0	1	4	5	0	0	2	0	5	-4	19.0
Tim Hardaway Jr.	DET	DET vs. DEN	02/28/2025	L	17	10	4	11	36.4	1	7	14.3	1	1	100	0	1	1	2	0	0	1	1	-21	13.2
Malik Beasley	DET	DET vs. BOS	02/26/2025	W	22	26	10	15	66.7	6	11	54.5	0	0	-	2	3	5	2	1	1	0	0	12	41.0
Isaiah Stewart	DET	DET vs. BOS	02/26/2025	W	20	4	1	2	50.0	0	0	-	2	4	50.0	1	4	5	1	0	2	0	2	19	17.5
Cade Cunningham	DET	DET vs. BOS	02/26/2025	W	34	21	9	21	42.9	1	4	25.0	2	2	100	0	4	4	11	0	0	4	3	12	38.3
Marcus Sasser	DET	DET vs. BOS	02/26/2025	W	21	8	3	8	37.5	2	6	33.3	0	2	0.0	0	1	1	3	0	0	0	1	19	13.7
Ronald Holland II	DET	DET vs. BOS	02/26/2025	W	19	8	4	8	50.0	0	3	0.0	0	0	-	1	2	3	3	3	0	2	1	8	23.1
Tim Hardaway Jr.	DET	DET vs. BOS	02/26/2025	W	29	9	3	8	37.5	1	4	25.0	2	2	100	2	2	4	2	1	0	0	0	-1	19.8
Ausar Thompson	DET	DET vs. BOS	02/26/2025	W	27	7	3	6	50.0	0	0	-	1	2	50.0	0	6	6	2	5	0	3	2	15	29.2
