PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Moses Moody	GSW	GSW @ NYK	03/04/2025	W	27	9	4	8	50.0	1	4	25.0	0	0	-	2	2	4	2	1	0	0	1	21	19.8
Stephen Curry	GSW	GSW @ NYK	03/04/2025	W	33	28	10	21	47.6	5	9	55.6	3	3	100	0	7	7	9	2	0	2	0	23	53.9
Jimmy Butler III	GSW	GSW @ NYK	03/04/2025	W	35	19	6	12	50.0	0	3	0.0	7	9	77.8	1	3	4	4	0	0	1	2	1	28.8
Kevon Looney	GSW	GSW @ NYK	03/04/2025	W	14	2	1	1	100	0	0	-	0	2	0.0	1	3	4	0	0	2	0	1	-6	12.8
Buddy Hield	GSW	GSW @ NYK	03/04/2025	W	23	15	6	13	46.2	3	10	30.0	0	0	-	1	5	6	0	0	1	2	1	-4	23.2
Kevin Knox II	GSW	GSW @ NYK	03/04/2025	W	12	2	1	3	33.3	0	1	0.0	0	0	-	1	0	1	1	0	2	0	1	-5	10.7
Gui Santos	GSW	GSW @ NYK	03/04/2025	W	15	9	4	6	66.7	1	1	100	0	0	-	0	1	1	2	1	1	1	0	14	18.2
Brandin Podziemski	GSW	GSW @ NYK	03/04/2025	W	32	19	8	16	50.0	2	6	33.3	1	1	100	1	4	5	4	1	0	1	1	-3	33.0
Draymond Green	GSW	GSW @ NYK	03/04/2025	W	35	8	2	4	50.0	0	1	0.0	4	4	100	2	7	9	8	2	0	1	4	14	35.8
Quinten Post	GSW	GSW @ NYK	03/04/2025	W	15	3	1	4	25.0	1	2	50.0	0	0	-	0	3	3	0	0	1	3	3	5	6.6
Gary Payton II	GSW	GSW @ CHA	03/03/2025	W	10	9	4	7	57.1	1	4	25.0	0	0	-	0	2	2	0	1	1	0	2	6	17.4
Stephen Curry	GSW	GSW @ CHA	03/03/2025	W	30	21	6	14	42.9	3	9	33.3	6	8	75.0	1	2	3	10	1	1	1	3	13	44.6
Jimmy Butler III	GSW	GSW @ CHA	03/03/2025	W	31	13	3	7	42.9	1	3	33.3	6	6	100	1	2	3	4	1	0	3	1	11	22.6
Gui Santos	GSW	GSW @ CHA	03/03/2025	W	19	0	0	3	0.0	0	3	0.0	0	0	-	1	2	3	3	0	0	0	2	1	8.1
Buddy Hield	GSW	GSW @ CHA	03/03/2025	W	31	22	8	14	57.1	5	9	55.6	1	1	100	0	5	5	2	1	0	1	2	9	33.0
Draymond Green	GSW	GSW @ CHA	03/03/2025	W	28	16	6	15	40.0	2	6	33.3	2	2	100	3	9	12	7	2	0	0	4	20	46.9
Brandin Podziemski	GSW	GSW @ CHA	03/03/2025	W	32	19	6	16	37.5	4	11	36.4	3	4	75.0	4	7	11	2	2	0	1	3	17	40.2
Kevon Looney	GSW	GSW @ CHA	03/03/2025	W	14	4	2	4	50.0	0	0	-	0	0	-	0	6	6	3	0	1	0	2	4	18.7
Moses Moody	GSW	GSW @ CHA	03/03/2025	W	21	5	1	6	16.7	0	2	0.0	3	3	100	1	4	5	0	1	0	1	1	11	13.0
Quinten Post	GSW	GSW @ CHA	03/03/2025	W	17	6	2	6	33.3	2	3	66.7	0	0	-	1	2	3	2	1	1	1	2	-2	17.6
Quinten Post	GSW	GSW @ PHI	03/01/2025	L	25	16	6	15	40.0	4	9	44.4	0	0	-	1	8	9	1	1	1	2	4	-2	32.3
Brandin Podziemski	GSW	GSW @ PHI	03/01/2025	L	25	5	2	8	25.0	0	3	0.0	1	1	100	2	4	6	2	0	1	2	1	-16	16.2
Moses Moody	GSW	GSW @ PHI	03/01/2025	L	38	10	3	8	37.5	2	4	50.0	2	3	66.7	0	2	2	0	1	1	0	1	-10	18.4
Buddy Hield	GSW	GSW @ PHI	03/01/2025	L	17	6	3	9	33.3	0	6	0.0	0	0	-	2	0	2	3	1	0	3	0	3	12.9
Draymond Green	GSW	GSW @ PHI	03/01/2025	L	36	13	5	13	38.5	0	2	0.0	3	4	75.0	2	6	8	8	0	0	3	4	3	31.6
Gui Santos	GSW	GSW @ PHI	03/01/2025	L	17	14	6	8	75.0	1	2	50.0	1	1	100	2	2	4	2	2	0	1	2	0	26.8
Gary Payton II	GSW	GSW @ PHI	03/01/2025	L	23	15	7	11	63.6	0	2	0.0	1	2	50.0	4	3	7	4	1	0	0	2	8	32.4
Kevon Looney	GSW	GSW @ PHI	03/01/2025	L	12	10	4	6	66.7	0	0	-	2	2	100	3	1	4	0	0	1	1	3	-10	16.8
Stephen Curry	GSW	GSW @ PHI	03/01/2025	L	36	29	10	18	55.6	5	12	41.7	4	4	100	1	4	5	13	1	0	3	2	12	54.5
Jimmy Butler III	GSW	GSW @ ORL	02/27/2025	W	32	5	1	7	14.3	0	3	0.0	3	4	75.0	2	2	4	7	0	1	2	1	-7	21.3
Quinten Post	GSW	GSW @ ORL	02/27/2025	W	24	18	7	9	77.8	2	4	50.0	2	2	100	1	4	5	1	1	1	0	3	22	31.5
Buddy Hield	GSW	GSW @ ORL	02/27/2025	W	18	3	1	5	20.0	1	3	33.3	0	0	-	1	0	1	2	1	1	0	0	13	13.2
Moses Moody	GSW	GSW @ ORL	02/27/2025	W	25	10	1	5	20.0	1	5	20.0	7	7	100	0	1	1	0	0	1	0	2	-7	14.2
Brandin Podziemski	GSW	GSW @ ORL	02/27/2025	W	32	8	3	12	25.0	2	6	33.3	0	0	-	0	4	4	7	0	2	1	2	-10	28.3
Gary Payton II	GSW	GSW @ ORL	02/27/2025	W	17	5	2	3	66.7	0	1	0.0	1	2	50.0	0	1	1	1	2	1	0	1	3	16.7
Kevon Looney	GSW	GSW @ ORL	02/27/2025	W	14	0	0	0	-	0	0	-	0	0	-	3	4	7	1	0	0	0	2	-7	9.9
Draymond Green	GSW	GSW @ ORL	02/27/2025	W	32	12	3	8	37.5	1	1	100	5	7	71.4	3	7	10	4	1	0	4	4	6	29.0
Stephen Curry	GSW	GSW @ ORL	02/27/2025	W	34	56	16	25	64.0	12	19	63.2	12	12	100	0	4	4	3	2	0	4	0	15	67.3
Jimmy Butler III	GSW	GSW vs. CHA	02/25/2025	W	19	6	3	8	37.5	0	1	0.0	0	1	0.0	2	6	8	5	1	0	0	0	17	26.1
Draymond Green	GSW	GSW vs. CHA	02/25/2025	W	23	15	6	12	50.0	1	5	20.0	2	2	100	1	5	6	6	3	2	1	2	14	45.2
Kevon Looney	GSW	GSW vs. CHA	02/25/2025	W	13	4	1	3	33.3	0	0	-	2	2	100	1	2	3	1	1	1	0	3	18	15.1
Buddy Hield	GSW	GSW vs. CHA	02/25/2025	W	20	16	6	11	54.5	4	9	44.4	0	1	0.0	1	1	2	1	2	0	2	0	17	23.9
Gary Payton II	GSW	GSW vs. CHA	02/25/2025	W	14	14	6	9	66.7	2	2	100	0	0	-	0	2	2	4	1	0	0	0	11	25.4
Pat Spencer	GSW	GSW vs. CHA	02/25/2025	W	10	6	3	9	33.3	0	2	0.0	0	0	-	4	1	5	0	0	0	0	0	-1	12.0
Moses Moody	GSW	GSW vs. CHA	02/25/2025	W	23	13	4	5	80.0	3	3	100	2	2	100	0	1	1	1	0	0	1	2	25	14.7
Gui Santos	GSW	GSW vs. CHA	02/25/2025	W	19	3	1	5	20.0	0	2	0.0	1	1	100	3	2	5	6	2	0	2	2	17	22.0
Brandin Podziemski	GSW	GSW vs. CHA	02/25/2025	W	25	10	4	6	66.7	0	1	0.0	2	2	100	0	5	5	2	1	0	0	2	23	22.0
Stephen Curry	GSW	GSW vs. CHA	02/25/2025	W	24	15	6	14	42.9	2	9	22.2	1	1	100	0	4	4	6	1	0	2	2	27	29.8
Yuri Collins	GSW	GSW vs. CHA	02/25/2025	W	10	0	0	0	-	0	0	-	0	0	-	1	0	1	3	1	0	0	2	-1	8.7
Kevin Knox II	GSW	GSW vs. CHA	02/25/2025	W	15	12	4	7	57.1	2	4	50.0	2	2	100	2	3	5	3	1	2	0	1	5	31.5
Quinten Post	GSW	GSW vs. CHA	02/25/2025	W	18	8	3	8	37.5	1	4	25.0	1	2	50.0	1	2	3	2	2	0	2	4	6	18.6
Kevon Looney	GSW	GSW vs. DAL	02/23/2025	W	13	7	3	5	60.0	0	0	-	1	2	50.0	2	1	3	0	1	1	1	3	8	15.6
Buddy Hield	GSW	GSW vs. DAL	02/23/2025	W	18	3	1	4	25.0	1	3	33.3	0	0	-	0	2	2	2	0	1	0	1	19	11.4
Gary Payton II	GSW	GSW vs. DAL	02/23/2025	W	11	3	1	2	50.0	1	2	50.0	0	0	-	1	2	3	1	0	0	0	0	-2	8.1
Jimmy Butler III	GSW	GSW vs. DAL	02/23/2025	W	28	18	5	9	55.6	0	2	0.0	8	8	100	1	2	3	5	1	0	1	1	28	31.1
Brandin Podziemski	GSW	GSW vs. DAL	02/23/2025	W	30	17	7	15	46.7	3	5	60.0	0	0	-	3	10	13	2	1	1	2	0	30	39.6
Moses Moody	GSW	GSW vs. DAL	02/23/2025	W	27	14	5	10	50.0	1	4	25.0	3	4	75.0	2	2	4	1	1	1	0	1	16	26.3
Quinten Post	GSW	GSW vs. DAL	02/23/2025	W	18	10	3	9	33.3	2	6	33.3	2	2	100	2	4	6	3	1	0	1	2	0	23.7
Gui Santos	GSW	GSW vs. DAL	02/23/2025	W	20	5	2	5	40.0	1	4	25.0	0	0	-	5	3	8	1	0	2	1	1	-3	21.1
Stephen Curry	GSW	GSW vs. DAL	02/23/2025	W	29	30	12	20	60.0	3	8	37.5	3	3	100	0	4	4	7	1	0	2	3	14	46.3
Draymond Green	GSW	GSW vs. DAL	02/23/2025	W	27	13	5	10	50.0	0	2	0.0	3	4	75.0	0	4	4	6	2	0	2	1	19	30.8
Brandin Podziemski	GSW	GSW @ SAC	02/21/2025	W	30	21	9	20	45.0	2	9	22.2	1	1	100	0	3	3	5	1	0	1	2	21	34.1
Kevon Looney	GSW	GSW @ SAC	02/21/2025	W	14	2	1	5	20.0	0	0	-	0	0	-	2	3	5	1	2	0	2	1	1	13.5
Quinten Post	GSW	GSW @ SAC	02/21/2025	W	14	9	3	5	60.0	3	3	100	0	0	-	1	4	5	0	1	0	3	0	19	15.0
Gui Santos	GSW	GSW @ SAC	02/21/2025	W	13	0	0	3	0.0	0	2	0.0	0	0	-	1	2	3	3	1	0	1	4	4	10.1
Buddy Hield	GSW	GSW @ SAC	02/21/2025	W	26	22	8	11	72.7	5	8	62.5	1	1	100	0	3	3	2	1	0	0	3	8	31.6
Draymond Green	GSW	GSW @ SAC	02/21/2025	W	28	6	3	7	42.9	0	2	0.0	0	0	-	2	6	8	9	0	2	2	2	23	33.1
Jimmy Butler III	GSW	GSW @ SAC	02/21/2025	W	32	17	5	10	50.0	0	1	0.0	7	7	100	2	1	3	7	3	0	0	0	19	40.1
Moses Moody	GSW	GSW @ SAC	02/21/2025	W	29	22	8	11	72.7	5	8	62.5	1	1	100	1	1	2	4	0	1	1	2	16	32.4
Gary Payton II	GSW	GSW @ SAC	02/21/2025	W	15	4	2	2	100	0	0	-	0	0	-	0	0	0	1	2	0	0	4	3	11.5
Stephen Curry	GSW	GSW @ SAC	02/21/2025	W	31	20	7	13	53.8	4	9	44.4	2	2	100	0	1	1	6	2	0	1	0	0	35.2
Brandin Podziemski	GSW	GSW @ HOU	02/13/2025	W	39	18	7	17	41.2	2	7	28.6	2	2	100	0	5	5	4	4	1	1	2	1	44.0
Moses Moody	GSW	GSW @ HOU	02/13/2025	W	34	10	4	9	44.4	1	4	25.0	1	2	50.0	2	4	6	1	2	2	0	3	10	30.7
Draymond Green	GSW	GSW @ HOU	02/13/2025	W	30	13	5	8	62.5	1	3	33.3	2	2	100	1	3	4	8	2	1	4	2	8	34.8
Jimmy Butler III	GSW	GSW @ HOU	02/13/2025	W	35	19	6	15	40.0	1	4	25.0	6	6	100	4	4	8	4	0	0	0	0	10	34.6
Stephen Curry	GSW	GSW @ HOU	02/13/2025	W	35	27	7	17	41.2	5	13	38.5	8	9	88.9	1	4	5	3	0	0	1	2	7	36.5
Kevon Looney	GSW	GSW @ HOU	02/13/2025	W	16	5	2	4	50.0	0	0	-	1	2	50.0	1	8	9	2	1	0	2	5	8	19.8
Buddy Hield	GSW	GSW @ HOU	02/13/2025	W	14	2	1	5	20.0	0	4	0.0	0	0	-	0	1	1	0	1	1	0	0	3	9.2
Pat Spencer	GSW	GSW @ HOU	02/13/2025	W	13	6	2	7	28.6	0	0	-	2	2	100	0	1	1	1	1	1	1	2	-2	13.7
Gui Santos	GSW	GSW @ HOU	02/13/2025	W	17	5	1	4	25.0	1	3	33.3	2	2	100	0	2	2	2	2	0	1	2	-7	15.4
Draymond Green	GSW	GSW @ DAL	02/12/2025	L	32	13	5	10	50.0	0	1	0.0	3	3	100	2	3	5	5	3	2	3	1	-13	38.5
Buddy Hield	GSW	GSW @ DAL	02/12/2025	L	29	3	1	9	11.1	1	6	16.7	0	0	-	0	3	3	0	0	0	0	2	-21	6.6
Moses Moody	GSW	GSW @ DAL	02/12/2025	L	27	14	5	13	38.5	2	8	25.0	2	3	66.7	2	3	5	0	0	2	0	4	8	26.0
Brandin Podziemski	GSW	GSW @ DAL	02/12/2025	L	24	8	4	9	44.4	0	2	0.0	0	0	-	1	1	2	5	3	0	3	1	13	23.9
Quinten Post	GSW	GSW @ DAL	02/12/2025	L	12	5	2	3	66.7	1	2	50.0	0	0	-	1	3	4	0	0	0	0	0	-19	9.8
Jimmy Butler III	GSW	GSW @ DAL	02/12/2025	L	35	21	8	17	47.1	0	0	-	5	6	83.3	6	3	9	7	0	1	3	3	-17	42.3
Stephen Curry	GSW	GSW @ DAL	02/12/2025	L	37	25	9	23	39.1	4	13	30.8	3	4	75.0	1	4	5	8	2	0	4	3	4	45.0
Kevon Looney	GSW	GSW @ DAL	02/12/2025	L	15	4	1	3	33.3	0	0	-	2	2	100	3	5	8	2	0	1	0	0	12	19.6
Gary Payton II	GSW	GSW @ DAL	02/12/2025	L	16	14	6	9	66.7	2	3	66.7	0	0	-	0	2	2	0	1	0	0	1	3	19.4
Gui Santos	GSW	GSW @ DAL	02/12/2025	L	12	0	0	0	-	0	0	-	0	0	-	2	5	7	2	0	0	2	1	10	9.4
