PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Thomas Bryant	IND	IND vs. HOU	03/04/2025	W	21	10	4	5	80.0	2	3	66.7	0	0	-	1	4	5	1	0	0	1	2	-3	16.5
Pascal Siakam	IND	IND vs. HOU	03/04/2025	W	31	18	8	19	42.1	0	5	0.0	2	2	100	1	1	2	2	0	0	2	2	-9	21.4
Myles Turner	IND	IND vs. HOU	03/04/2025	W	26	16	6	11	54.5	4	8	50.0	0	0	-	0	4	4	1	0	4	2	4	14	32.3
Ben Sheppard	IND	IND vs. HOU	03/04/2025	W	15	5	2	4	50.0	1	3	33.3	0	0	-	0	3	3	3	1	0	0	1	-5	16.1
Jarace Walker	IND	IND vs. HOU	03/04/2025	W	10	2	1	1	100	0	0	-	0	0	-	0	0	0	2	0	0	1	1	-2	4.0
Aaron Nesmith	IND	IND vs. HOU	03/04/2025	W	34	16	7	13	53.8	1	6	16.7	1	1	100	0	5	5	0	1	0	0	2	18	25.0
Tyrese Haliburton	IND	IND vs. HOU	03/04/2025	W	36	28	9	16	56.3	5	8	62.5	5	5	100	0	3	3	15	1	0	2	1	20	55.1
Obi Toppin	IND	IND vs. HOU	03/04/2025	W	16	13	4	6	66.7	3	4	75.0	2	2	100	1	4	5	1	0	0	2	2	18	18.5
Andrew Nembhard	IND	IND vs. HOU	03/04/2025	W	35	5	2	6	33.3	1	3	33.3	0	0	-	1	5	6	6	4	2	1	2	20	38.2
T.J. McConnell	IND	IND vs. HOU	03/04/2025	W	13	2	1	4	25.0	0	1	0.0	0	0	-	1	0	1	3	2	0	0	1	-7	13.7
Aaron Nesmith	IND	IND vs. CHI	03/02/2025	W	29	27	9	16	56.3	6	11	54.5	3	4	75.0	2	3	5	1	0	0	1	3	28	33.5
Tyrese Haliburton	IND	IND vs. CHI	03/02/2025	W	31	17	7	12	58.3	2	4	50.0	1	1	100	1	4	5	12	3	0	1	1	16	49.0
Pascal Siakam	IND	IND vs. CHI	03/02/2025	W	31	20	8	14	57.1	1	5	20.0	3	7	42.9	1	5	6	4	0	2	3	3	15	36.2
Myles Turner	IND	IND vs. CHI	03/02/2025	W	31	16	6	14	42.9	2	7	28.6	2	2	100	0	6	6	2	1	1	0	1	20	32.2
T.J. McConnell	IND	IND vs. CHI	03/02/2025	W	16	11	4	5	80.0	1	1	100	2	3	66.7	0	1	1	6	1	0	2	0	-1	22.2
Thomas Bryant	IND	IND vs. CHI	03/02/2025	W	16	7	3	7	42.9	1	3	33.3	0	0	-	1	1	2	0	0	1	1	1	-5	11.4
Andrew Nembhard	IND	IND vs. CHI	03/02/2025	W	37	11	4	5	80.0	2	3	66.7	1	1	100	0	2	2	4	2	0	1	2	18	24.4
Obi Toppin	IND	IND vs. CHI	03/02/2025	W	16	6	3	5	60.0	0	1	0.0	0	0	-	0	5	5	1	0	0	1	2	0	12.5
Ben Sheppard	IND	IND vs. CHI	03/02/2025	W	21	9	3	6	50.0	3	6	50.0	0	0	-	0	4	4	2	0	0	0	3	-1	16.8
Tyrese Haliburton	IND	IND @ MIA	02/28/2025	L	36	19	8	15	53.3	3	5	60.0	0	0	-	0	2	2	10	4	0	1	1	3	47.4
Obi Toppin	IND	IND @ MIA	02/28/2025	L	16	7	3	4	75.0	1	2	50.0	0	0	-	0	1	1	0	0	0	1	1	3	7.2
Andrew Nembhard	IND	IND @ MIA	02/28/2025	L	37	9	4	7	57.1	1	2	50.0	0	0	-	1	2	3	11	1	2	2	1	1	36.1
Thomas Bryant	IND	IND @ MIA	02/28/2025	L	13	8	4	10	40.0	0	3	0.0	0	0	-	4	1	5	1	0	0	0	3	-6	15.5
Pascal Siakam	IND	IND @ MIA	02/28/2025	L	32	36	13	21	61.9	8	11	72.7	2	4	50.0	1	5	6	2	2	0	1	3	-8	51.2
T.J. McConnell	IND	IND @ MIA	02/28/2025	L	13	7	3	8	37.5	1	1	100	0	0	-	0	0	0	5	1	0	2	0	-8	15.5
Aaron Nesmith	IND	IND @ MIA	02/28/2025	L	35	7	3	8	37.5	1	4	25.0	0	0	-	2	4	6	2	0	1	0	1	4	20.2
Ben Sheppard	IND	IND @ MIA	02/28/2025	L	15	5	2	3	66.7	1	2	50.0	0	0	-	1	3	4	1	0	0	2	1	-14	9.3
Myles Turner	IND	IND @ MIA	02/28/2025	L	35	22	7	12	58.3	5	9	55.6	3	4	75.0	0	3	3	3	2	0	1	0	1	35.1
Myles Turner	IND	IND vs. TOR	02/26/2025	W	29	18	6	8	75.0	5	5	100	1	2	50.0	1	9	10	2	0	2	0	1	24	39.0
Pascal Siakam	IND	IND vs. TOR	02/26/2025	W	32	15	7	14	50.0	0	1	0.0	1	4	25.0	1	7	8	2	0	0	0	2	17	27.6
Andrew Nembhard	IND	IND vs. TOR	02/26/2025	W	28	7	3	7	42.9	0	4	0.0	1	2	50.0	0	0	0	3	1	0	6	5	14	8.5
Tyrese Haliburton	IND	IND vs. TOR	02/26/2025	W	33	33	12	15	80.0	7	9	77.8	2	2	100	0	3	3	11	3	2	1	0	24	67.1
Aaron Nesmith	IND	IND vs. TOR	02/26/2025	W	24	12	5	9	55.6	2	5	40.0	0	0	-	1	4	5	3	0	0	4	3	10	18.5
Thomas Bryant	IND	IND vs. TOR	02/26/2025	W	19	8	3	4	75.0	1	2	50.0	1	2	50.0	1	3	4	1	2	0	3	2	-4	17.3
Obi Toppin	IND	IND vs. TOR	02/26/2025	W	14	4	2	8	25.0	0	5	0.0	0	0	-	0	1	1	0	2	1	1	0	2	13.2
Bennedict Mathurin	IND	IND vs. TOR	02/26/2025	W	24	10	3	9	33.3	0	3	0.0	4	4	100	0	4	4	2	0	1	2	1	9	18.8
Ben Sheppard	IND	IND vs. TOR	02/26/2025	W	29	4	2	4	50.0	0	2	0.0	0	0	-	0	5	5	3	0	1	1	0	7	16.5
Andrew Nembhard	IND	IND vs. DEN	02/24/2025	L	27	6	3	5	60.0	0	1	0.0	0	0	-	0	2	2	5	1	0	4	1	-21	14.9
Obi Toppin	IND	IND vs. DEN	02/24/2025	L	17	11	4	8	50.0	1	5	20.0	2	2	100	0	3	3	2	1	0	2	1	-2	18.6
Bennedict Mathurin	IND	IND vs. DEN	02/24/2025	L	19	8	3	7	42.9	0	2	0.0	2	2	100	1	2	3	2	1	0	3	2	-7	14.6
Myles Turner	IND	IND vs. DEN	02/24/2025	L	39	23	7	18	38.9	2	10	20.0	7	8	87.5	0	2	2	2	3	1	3	3	1	37.4
Pascal Siakam	IND	IND vs. DEN	02/24/2025	L	31	19	7	18	38.9	2	5	40.0	3	6	50.0	4	5	9	2	0	0	2	2	-7	30.8
Tyrese Haliburton	IND	IND vs. DEN	02/24/2025	L	40	19	6	11	54.5	5	10	50.0	2	2	100	0	1	1	15	3	0	1	2	1	50.7
Ben Sheppard	IND	IND vs. DEN	02/24/2025	L	24	7	3	4	75.0	1	2	50.0	0	0	-	3	4	7	1	1	0	0	1	-1	19.9
Aaron Nesmith	IND	IND vs. DEN	02/24/2025	L	33	17	5	10	50.0	2	6	33.3	5	5	100	0	4	4	0	1	2	2	1	1	28.8
Bennedict Mathurin	IND	IND vs. LAC	02/23/2025	W	21	8	3	6	50.0	0	2	0.0	2	2	100	0	1	1	1	0	1	2	2	-3	11.7
Thomas Bryant	IND	IND vs. LAC	02/23/2025	W	12	7	3	3	100	1	1	100	0	0	-	0	3	3	1	1	0	1	3	-9	14.1
Pascal Siakam	IND	IND vs. LAC	02/23/2025	W	30	12	4	12	33.3	0	3	0.0	4	6	66.7	2	10	12	2	1	1	2	2	16	33.4
T.J. McConnell	IND	IND vs. LAC	02/23/2025	W	15	13	5	5	100	1	1	100	2	2	100	1	1	2	1	0	1	1	2	4	18.9
Aaron Nesmith	IND	IND vs. LAC	02/23/2025	W	25	19	7	11	63.6	2	5	40.0	3	3	100	2	4	6	1	0	0	0	2	17	27.7
Tyrese Haliburton	IND	IND vs. LAC	02/23/2025	W	30	29	9	14	64.3	4	8	50.0	7	7	100	0	1	1	12	3	0	1	0	15	56.2
Obi Toppin	IND	IND vs. LAC	02/23/2025	W	24	10	5	9	55.6	0	4	0.0	0	0	-	2	3	5	6	1	0	2	2	2	26.0
Andrew Nembhard	IND	IND vs. LAC	02/23/2025	W	30	12	5	11	45.5	0	2	0.0	2	2	100	1	4	5	1	1	0	2	3	17	20.5
Myles Turner	IND	IND vs. LAC	02/23/2025	W	31	17	5	11	45.5	4	8	50.0	3	3	100	0	6	6	4	0	2	1	4	27	35.2
Ben Sheppard	IND	IND vs. LAC	02/23/2025	W	17	2	0	2	0.0	0	2	0.0	2	2	100	0	4	4	0	0	0	0	3	2	6.8
Aaron Nesmith	IND	IND vs. MEM	02/20/2025	W	24	13	4	8	50.0	3	5	60.0	2	2	100	3	4	7	1	0	1	0	3	19	25.9
Tyrese Haliburton	IND	IND vs. MEM	02/20/2025	W	32	22	9	17	52.9	4	11	36.4	0	0	-	1	4	5	9	1	1	1	3	8	46.5
Andrew Nembhard	IND	IND vs. MEM	02/20/2025	W	30	11	4	9	44.4	1	4	25.0	2	2	100	0	3	3	4	2	0	1	2	7	25.6
Thomas Bryant	IND	IND vs. MEM	02/20/2025	W	15	6	2	4	50.0	0	2	0.0	2	3	66.7	2	3	5	1	0	1	1	1	-8	15.5
T.J. McConnell	IND	IND vs. MEM	02/20/2025	W	16	7	2	3	66.7	1	1	100	2	2	100	0	2	2	7	0	1	2	3	9	20.9
Myles Turner	IND	IND vs. MEM	02/20/2025	W	33	17	6	17	35.3	3	9	33.3	2	2	100	1	9	10	2	1	7	0	2	22	56.0
Ben Sheppard	IND	IND vs. MEM	02/20/2025	W	14	7	3	6	50.0	1	4	25.0	0	0	-	0	1	1	0	0	0	0	0	4	8.2
Obi Toppin	IND	IND vs. MEM	02/20/2025	W	20	12	4	6	66.7	2	4	50.0	2	3	66.7	0	5	5	1	0	0	3	1	10	16.5
Pascal Siakam	IND	IND vs. MEM	02/20/2025	W	28	16	6	12	50.0	1	3	33.3	3	5	60.0	1	3	4	2	0	0	1	4	4	22.8
Bennedict Mathurin	IND	IND vs. MEM	02/20/2025	W	24	16	6	9	66.7	1	2	50.0	3	3	100	1	3	4	1	2	1	1	0	3	30.3
T.J. McConnell	IND	IND @ WAS	02/12/2025	W	22	10	5	12	41.7	0	0	-	0	0	-	0	1	1	9	1	0	0	0	11	27.7
Thomas Bryant	IND	IND @ WAS	02/12/2025	W	27	9	4	7	57.1	0	2	0.0	1	1	100	3	8	11	5	0	0	0	1	-3	29.7
Aaron Nesmith	IND	IND @ WAS	02/12/2025	W	21	8	3	6	50.0	2	3	66.7	0	0	-	0	1	1	1	1	1	1	3	-14	15.7
Ben Sheppard	IND	IND @ WAS	02/12/2025	W	24	4	1	4	25.0	0	1	0.0	2	2	100	1	1	2	1	2	0	0	0	13	13.9
