PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
James Harden	LAC	LAC @ PHX	03/04/2025	L	38	21	5	14	35.7	2	9	22.2	9	11	81.8	0	6	6	15	2	0	1	1	-5	55.7
Kris Dunn	LAC	LAC @ PHX	03/04/2025	L	32	2	1	6	16.7	0	5	0.0	0	0	-	0	1	1	3	2	0	0	5	3	13.7
Ivica Zubac	LAC	LAC @ PHX	03/04/2025	L	37	35	15	19	78.9	0	0	-	5	6	83.3	1	9	10	3	1	1	0	4	22	57.5
Nicolas Batum	LAC	LAC @ PHX	03/04/2025	L	17	3	1	4	25.0	1	4	25.0	0	0	-	2	1	3	2	0	0	1	1	-8	8.6
Kawhi Leonard	LAC	LAC @ PHX	03/04/2025	L	37	21	9	20	45.0	1	6	16.7	2	2	100	2	2	4	3	1	1	2	2	4	34.3
Bogdan Bogdanović	LAC	LAC @ PHX	03/04/2025	L	37	13	5	7	71.4	3	4	75.0	0	0	-	0	4	4	3	0	0	1	5	19	21.3
Drew Eubanks	LAC	LAC @ PHX	03/04/2025	L	11	7	1	4	25.0	0	0	-	5	6	83.3	2	2	4	0	0	1	0	0	-24	14.8
Jordan Miller	LAC	LAC @ PHX	03/04/2025	L	10	2	1	1	100	0	0	-	0	0	-	0	3	3	0	0	0	1	1	-11	4.6
Amir Coffey	LAC	LAC @ PHX	03/04/2025	L	22	13	5	8	62.5	1	2	50.0	2	2	100	0	2	2	0	2	0	0	3	-10	21.4
Amir Coffey	LAC	LAC @ LAL	03/02/2025	L	22	3	0	0	-	0	0	-	3	4	75.0	0	3	3	3	1	0	0	2	4	14.1
Drew Eubanks	LAC	LAC @ LAL	03/02/2025	L	12	4	2	4	50.0	0	0	-	0	0	-	2	3	5	2	1	0	0	0	13	16.0
Bogdan Bogdanović	LAC	LAC @ LAL	03/02/2025	L	31	12	4	16	25.0	4	11	36.4	0	0	-	1	3	4	3	0	0	1	4	10	20.3
Kawhi Leonard	LAC	LAC @ LAL	03/02/2025	L	40	33	13	23	56.5	3	7	42.9	4	5	80.0	4	6	10	0	0	0	3	2	-10	42.0
Nicolas Batum	LAC	LAC @ LAL	03/02/2025	L	16	6	2	3	66.7	2	3	66.7	0	0	-	0	1	1	0	2	0	0	1	19	13.2
Ivica Zubac	LAC	LAC @ LAL	03/02/2025	L	34	12	5	9	55.6	0	0	-	2	2	100	2	8	10	3	1	0	2	6	-17	29.5
Kris Dunn	LAC	LAC @ LAL	03/02/2025	L	27	15	7	12	58.3	1	5	20.0	0	0	-	1	1	2	4	1	1	3	3	-5	26.4
James Harden	LAC	LAC @ LAL	03/02/2025	L	38	13	4	14	28.6	2	9	22.2	3	4	75.0	0	2	2	8	2	0	3	4	-18	30.4
James Harden	LAC	LAC @ LAL	02/28/2025	L	39	18	5	22	22.7	1	10	10.0	7	7	100	2	5	7	9	3	0	6	1	-1	42.9
Kris Dunn	LAC	LAC @ LAL	02/28/2025	L	29	14	6	9	66.7	2	3	66.7	0	0	-	2	7	9	6	4	0	1	5	12	44.8
Ivica Zubac	LAC	LAC @ LAL	02/28/2025	L	38	27	13	15	86.7	0	0	-	1	2	50.0	6	10	16	0	0	1	3	4	9	46.2
Derrick Jones Jr.	LAC	LAC @ LAL	02/28/2025	L	29	8	3	7	42.9	2	4	50.0	0	0	-	2	2	4	1	1	0	2	1	19	15.3
Amir Coffey	LAC	LAC @ LAL	02/28/2025	L	22	4	1	7	14.3	0	5	0.0	2	2	100	0	1	1	2	1	0	2	2	-14	9.2
Bogdan Bogdanović	LAC	LAC @ LAL	02/28/2025	L	20	6	2	8	25.0	1	6	16.7	1	2	50.0	0	0	0	1	0	0	1	1	-20	6.5
Kawhi Leonard	LAC	LAC @ LAL	02/28/2025	L	38	21	8	17	47.1	3	8	37.5	2	6	33.3	2	2	4	3	2	0	2	1	7	34.3
Ben Simmons	LAC	LAC @ LAL	02/28/2025	L	16	2	1	1	100	0	0	-	0	0	-	1	2	3	3	0	0	0	3	-19	10.1
Nicolas Batum	LAC	LAC @ CHI	02/26/2025	W	17	0	0	2	0.0	0	2	0.0	0	0	-	0	2	2	1	0	2	0	1	10	9.9
James Harden	LAC	LAC @ CHI	02/26/2025	W	36	30	9	20	45.0	7	14	50.0	5	5	100	1	1	2	6	1	1	6	2	-4	41.4
Kawhi Leonard	LAC	LAC @ CHI	02/26/2025	W	33	17	6	14	42.9	3	5	60.0	2	2	100	2	6	8	4	4	1	3	1	-11	44.6
Kris Dunn	LAC	LAC @ CHI	02/26/2025	W	27	5	1	4	25.0	1	1	100	2	2	100	0	4	4	3	1	0	0	1	-4	17.3
Ivica Zubac	LAC	LAC @ CHI	02/26/2025	W	30	10	5	8	62.5	0	0	-	0	2	0.0	3	7	10	3	0	2	1	2	-10	31.5
Derrick Jones Jr.	LAC	LAC @ CHI	02/26/2025	W	23	16	6	9	66.7	2	5	40.0	2	2	100	0	4	4	1	1	1	0	2	-6	28.3
Ben Simmons	LAC	LAC @ CHI	02/26/2025	W	18	6	3	8	37.5	0	0	-	0	0	-	4	4	8	8	1	1	1	2	15	32.6
Bogdan Bogdanović	LAC	LAC @ CHI	02/26/2025	W	25	14	5	7	71.4	4	5	80.0	0	0	-	0	0	0	6	0	1	3	4	13	23.0
Amir Coffey	LAC	LAC @ CHI	02/26/2025	W	27	20	7	11	63.6	2	5	40.0	4	4	100	1	2	3	1	1	0	0	0	9	28.1
Bogdan Bogdanović	LAC	LAC @ DET	02/24/2025	L	33	13	6	19	31.6	1	12	8.3	0	0	-	0	4	4	5	0	0	3	5	6	22.3
Ivica Zubac	LAC	LAC @ DET	02/24/2025	L	37	13	6	11	54.5	0	0	-	1	3	33.3	6	9	15	5	1	3	3	3	8	47.5
Derrick Jones Jr.	LAC	LAC @ DET	02/24/2025	L	23	15	6	11	54.5	0	1	0.0	3	5	60.0	1	2	3	1	2	0	1	2	-9	25.1
Drew Eubanks	LAC	LAC @ DET	02/24/2025	L	11	0	0	2	0.0	0	0	-	0	0	-	2	0	2	0	0	0	1	0	-17	1.4
Patty Mills	LAC	LAC @ DET	02/24/2025	L	10	6	2	4	50.0	2	4	50.0	0	0	-	0	0	0	0	0	0	1	4	-11	5.0
James Harden	LAC	LAC @ DET	02/24/2025	L	39	18	5	22	22.7	3	11	27.3	5	8	62.5	3	9	12	5	1	0	7	2	-22	35.9
Nicolas Batum	LAC	LAC @ DET	02/24/2025	L	22	9	3	5	60.0	3	5	60.0	0	0	-	0	3	3	1	3	0	0	1	1	23.1
Kris Dunn	LAC	LAC @ DET	02/24/2025	L	35	13	6	10	60.0	1	4	25.0	0	0	-	1	4	5	4	5	0	0	4	12	40.0
Amir Coffey	LAC	LAC @ DET	02/24/2025	L	29	10	3	8	37.5	1	4	25.0	3	3	100	2	2	4	3	0	0	1	3	-10	18.3
MarJon Beauchamp	LAC	LAC @ IND	02/23/2025	L	13	9	3	5	60.0	1	1	100	2	4	50.0	2	1	3	1	0	0	1	2	4	13.1
Ivica Zubac	LAC	LAC @ IND	02/23/2025	L	30	22	8	11	72.7	0	0	-	6	6	100	1	5	6	2	0	0	0	1	-9	32.2
Ben Simmons	LAC	LAC @ IND	02/23/2025	L	24	8	3	7	42.9	0	0	-	2	3	66.7	0	3	3	4	2	0	1	2	-6	22.6
Bogdan Bogdanović	LAC	LAC @ IND	02/23/2025	L	29	11	4	13	30.8	1	8	12.5	2	3	66.7	0	1	1	2	1	0	0	1	1	18.2
Kobe Brown	LAC	LAC @ IND	02/23/2025	L	13	0	0	2	0.0	0	1	0.0	0	0	-	0	1	1	0	1	0	0	1	0	4.2
Amir Coffey	LAC	LAC @ IND	02/23/2025	L	26	14	4	9	44.4	1	4	25.0	5	6	83.3	0	3	3	1	0	0	0	4	-17	19.1
Drew Eubanks	LAC	LAC @ IND	02/23/2025	L	11	2	1	3	33.3	0	1	0.0	0	0	-	1	0	1	1	0	0	0	0	-6	4.7
