PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Shake Milton	LAL	LAL vs. NOP	03/04/2025	W	19	12	5	7	71.4	2	4	50.0	0	0	-	1	1	2	2	2	0	1	0	30	22.4
Jarred Vanderbilt	LAL	LAL vs. NOP	03/04/2025	W	20	12	4	7	57.1	2	4	50.0	2	2	100	3	5	8	1	1	2	0	2	27	32.1
Luka Dončić	LAL	LAL vs. NOP	03/04/2025	W	34	30	9	19	47.4	6	13	46.2	6	11	54.5	1	7	8	15	1	1	5	0	37	63.1
Trey Jemison III	LAL	LAL vs. NOP	03/04/2025	W	17	4	2	2	100	0	0	-	0	0	-	3	2	5	2	0	0	0	2	7	13.0
Dalton Knecht	LAL	LAL vs. NOP	03/04/2025	W	26	13	5	9	55.6	2	6	33.3	1	2	50.0	1	3	4	3	0	0	0	1	2	22.3
Jaxson Hayes	LAL	LAL vs. NOP	03/04/2025	W	24	19	8	8	100	0	0	-	3	3	100	3	7	10	0	0	0	1	5	4	30.0
Gabe Vincent	LAL	LAL vs. NOP	03/04/2025	W	29	2	1	7	14.3	0	6	0.0	0	0	-	0	0	0	3	2	0	0	0	-8	12.5
Dorian Finney-Smith	LAL	LAL vs. NOP	03/04/2025	W	30	8	3	10	30.0	2	7	28.6	0	0	-	4	1	5	0	0	0	2	1	5	12.0
LeBron James	LAL	LAL vs. NOP	03/04/2025	W	33	34	10	18	55.6	5	10	50.0	9	9	100	1	7	8	6	1	2	4	1	7	57.6
Dorian Finney-Smith	LAL	LAL vs. LAC	03/02/2025	W	37	11	4	9	44.4	2	5	40.0	1	2	50.0	1	3	4	0	1	0	0	0	24	18.8
LeBron James	LAL	LAL vs. LAC	03/02/2025	W	36	17	6	17	35.3	1	6	16.7	4	4	100	1	4	5	9	2	1	8	2	-5	37.5
Trey Jemison III	LAL	LAL vs. LAC	03/02/2025	W	18	3	1	2	50.0	0	0	-	1	2	50.0	1	1	2	0	0	0	0	5	-2	5.4
Luka Dončić	LAL	LAL vs. LAC	03/02/2025	W	37	29	9	17	52.9	5	12	41.7	6	9	66.7	0	6	6	9	2	0	6	2	19	49.7
Jarred Vanderbilt	LAL	LAL vs. LAC	03/02/2025	W	22	8	4	7	57.1	0	3	0.0	0	0	-	5	4	9	1	0	2	0	1	10	26.3
Gabe Vincent	LAL	LAL vs. LAC	03/02/2025	W	31	9	3	10	30.0	3	6	50.0	0	0	-	0	3	3	2	1	1	0	3	2	21.6
Jaxson Hayes	LAL	LAL vs. LAC	03/02/2025	W	26	6	2	2	100	0	0	-	2	3	66.7	2	5	7	0	0	2	2	2	11	18.4
Dalton Knecht	LAL	LAL vs. LAC	03/02/2025	W	25	19	7	10	70.0	5	8	62.5	0	0	-	1	3	4	0	2	0	0	0	-13	29.8
Dorian Finney-Smith	LAL	LAL vs. LAC	02/28/2025	W	31	7	3	6	50.0	1	3	33.3	0	0	-	2	3	5	3	1	0	1	0	-9	19.5
Jarred Vanderbilt	LAL	LAL vs. LAC	02/28/2025	W	15	3	0	1	0.0	0	0	-	3	4	75.0	1	4	5	0	1	0	0	1	20	12.0
Luka Dončić	LAL	LAL vs. LAC	02/28/2025	W	35	31	9	22	40.9	3	9	33.3	10	11	90.9	1	1	2	5	3	0	6	5	-13	43.9
Jaxson Hayes	LAL	LAL vs. LAC	02/28/2025	W	26	5	2	3	66.7	0	0	-	1	2	50.0	0	1	1	2	0	2	2	1	-15	13.2
Jordan Goodwin	LAL	LAL vs. LAC	02/28/2025	W	21	6	3	7	42.9	0	3	0.0	0	0	-	3	2	5	2	3	0	1	2	14	23.0
Gabe Vincent	LAL	LAL vs. LAC	02/28/2025	W	26	7	3	7	42.9	1	4	25.0	0	0	-	0	1	1	3	4	1	0	0	11	27.7
Trey Jemison III	LAL	LAL vs. LAC	02/28/2025	W	22	5	2	3	66.7	0	0	-	1	2	50.0	1	5	6	0	0	1	0	2	19	15.2
LeBron James	LAL	LAL vs. LAC	02/28/2025	W	37	28	12	21	57.1	2	7	28.6	2	3	66.7	1	12	13	3	1	0	4	0	-1	47.1
Dalton Knecht	LAL	LAL vs. LAC	02/28/2025	W	18	8	3	6	50.0	2	3	66.7	0	0	-	1	0	1	1	1	0	1	3	2	12.7
