PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Scotty Pippen Jr.	MEM	MEM vs. ATL	03/03/2025	L	16	9	4	8	50.0	0	1	0.0	1	1	100	2	2	4	4	1	0	1	1	-4	21.8
Desmond Bane	MEM	MEM vs. ATL	03/03/2025	L	36	35	9	19	47.4	3	8	37.5	14	14	100	3	7	10	10	0	0	5	3	-3	57.0
Brandon Clarke	MEM	MEM vs. ATL	03/03/2025	L	21	11	5	7	71.4	0	0	-	1	2	50.0	4	3	7	1	0	1	0	2	-6	23.9
GG Jackson	MEM	MEM vs. ATL	03/03/2025	L	28	11	3	11	27.3	2	6	33.3	3	4	75.0	2	5	7	3	0	1	5	1	-2	21.9
Jaylen Wells	MEM	MEM vs. ATL	03/03/2025	L	33	12	4	11	36.4	2	7	28.6	2	2	100	2	0	2	6	2	0	1	3	-1	28.4
Zach Edey	MEM	MEM vs. ATL	03/03/2025	L	27	15	6	8	75.0	1	1	100	2	2	100	1	4	5	2	0	1	0	2	4	27.0
Vince Williams Jr.	MEM	MEM vs. ATL	03/03/2025	L	25	15	6	9	66.7	3	5	60.0	0	0	-	0	3	3	3	0	0	4	2	5	19.1
John Konchar	MEM	MEM vs. ATL	03/03/2025	L	15	5	2	3	66.7	1	1	100	0	0	-	1	0	1	0	1	0	1	0	9	8.2
Luke Kennard	MEM	MEM vs. ATL	03/03/2025	L	35	17	8	15	53.3	1	4	25.0	0	0	-	2	1	3	7	2	0	1	1	-8	36.1
Jaylen Wells	MEM	MEM vs. SAS	03/01/2025	L	39	18	7	14	50.0	4	10	40.0	0	0	-	0	2	2	3	0	0	0	1	6	24.9
Zach Edey	MEM	MEM vs. SAS	03/01/2025	L	26	17	7	7	100	0	0	-	3	4	75.0	6	3	9	0	0	3	3	3	-5	33.8
Scotty Pippen Jr.	MEM	MEM vs. SAS	03/01/2025	L	28	12	5	12	41.7	1	6	16.7	1	1	100	1	3	4	7	1	0	2	4	-6	28.3
Santi Aldama	MEM	MEM vs. SAS	03/01/2025	L	37	15	7	16	43.8	1	8	12.5	0	0	-	1	7	8	11	1	1	1	2	15	46.1
Luke Kennard	MEM	MEM vs. SAS	03/01/2025	L	24	14	6	9	66.7	0	1	0.0	2	3	66.7	2	4	6	5	2	0	2	0	-5	32.7
John Konchar	MEM	MEM vs. SAS	03/01/2025	L	17	0	0	3	0.0	0	3	0.0	0	0	-	0	3	3	2	1	1	2	0	9	10.6
