PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Kevin Porter Jr.	MIL	MIL @ ATL	03/04/2025	W	12	15	6	7	85.7	1	1	100	2	2	100	0	2	2	2	1	0	3	0	-4	20.4
Jericho Sims	MIL	MIL @ ATL	03/04/2025	W	15	2	1	2	50.0	0	0	-	0	0	-	2	1	3	1	0	0	2	2	-1	5.1
Giannis Antetokounmpo	MIL	MIL @ ATL	03/04/2025	W	34	26	9	18	50.0	0	2	0.0	8	12	66.7	3	9	12	10	1	0	3	2	9	55.4
Kyle Kuzma	MIL	MIL @ ATL	03/04/2025	W	33	17	7	10	70.0	1	2	50.0	2	3	66.7	0	10	10	2	0	0	1	0	3	31.0
Gary Trent Jr.	MIL	MIL @ ATL	03/04/2025	W	25	15	6	10	60.0	2	6	33.3	1	1	100	0	0	0	2	2	0	1	2	1	23.0
AJ Green	MIL	MIL @ ATL	03/04/2025	W	23	8	3	8	37.5	2	6	33.3	0	0	-	0	4	4	1	0	0	1	0	1	13.3
Taurean Prince	MIL	MIL @ ATL	03/04/2025	W	29	8	3	9	33.3	2	5	40.0	0	0	-	0	2	2	2	1	0	1	4	4	15.4
Damian Lillard	MIL	MIL @ ATL	03/04/2025	W	36	23	9	18	50.0	2	10	20.0	3	3	100	0	5	5	4	2	0	1	2	10	40.0
Brook Lopez	MIL	MIL @ ATL	03/04/2025	W	33	13	5	14	35.7	1	5	20.0	2	2	100	4	9	13	3	1	1	1	1	7	38.1
Taurean Prince	MIL	MIL @ DAL	03/01/2025	W	31	9	3	8	37.5	2	6	33.3	1	1	100	1	6	7	5	0	1	0	4	15	27.9
Giannis Antetokounmpo	MIL	MIL @ DAL	03/01/2025	W	32	29	9	14	64.3	0	1	0.0	11	13	84.6	2	7	9	9	1	2	0	2	22	62.3
Damian Lillard	MIL	MIL @ DAL	03/01/2025	W	36	28	8	17	47.1	4	12	33.3	8	8	100	0	6	6	6	2	0	3	1	22	47.2
Brook Lopez	MIL	MIL @ DAL	03/01/2025	W	29	13	6	10	60.0	1	3	33.3	0	0	-	4	2	6	3	0	2	0	2	20	30.7
AJ Green	MIL	MIL @ DAL	03/01/2025	W	19	6	1	3	33.3	1	3	33.3	3	3	100	0	1	1	1	0	0	1	4	-2	7.7
Jericho Sims	MIL	MIL @ DAL	03/01/2025	W	19	6	3	3	100	0	0	-	0	0	-	2	6	8	2	0	1	3	1	-5	18.6
Kevin Porter Jr.	MIL	MIL @ DAL	03/01/2025	W	12	11	3	6	50.0	0	0	-	5	6	83.3	1	1	2	3	2	0	2	1	-7	21.9
Gary Trent Jr.	MIL	MIL @ DAL	03/01/2025	W	30	20	7	16	43.8	4	12	33.3	2	2	100	3	2	5	2	0	0	1	2	4	28.0
Kyle Kuzma	MIL	MIL @ DAL	03/01/2025	W	32	10	4	10	40.0	1	2	50.0	1	2	50.0	1	7	8	2	1	0	3	2	6	22.6
AJ Green	MIL	MIL vs. DEN	02/27/2025	W	20	6	2	4	50.0	2	3	66.7	0	0	-	0	1	1	2	1	0	0	2	-8	13.2
Jericho Sims	MIL	MIL vs. DEN	02/27/2025	W	11	2	1	4	25.0	0	0	-	0	0	-	1	3	4	0	0	0	0	0	3	6.8
Brook Lopez	MIL	MIL vs. DEN	02/27/2025	W	37	22	7	16	43.8	1	6	16.7	7	8	87.5	1	3	4	3	0	1	1	4	6	33.3
