PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Jaden McDaniels	MIN	MIN vs. PHI	03/04/2025	W	37	17	7	10	70.0	1	2	50.0	2	2	100	1	2	3	2	2	4	1	2	16	40.6
Naz Reid	MIN	MIN vs. PHI	03/04/2025	W	33	23	9	18	50.0	5	10	50.0	0	0	-	1	5	6	2	1	1	3	2	12	36.2
Julius Randle	MIN	MIN vs. PHI	03/04/2025	W	30	16	5	9	55.6	0	3	0.0	6	6	100	3	5	8	5	1	0	5	1	6	31.1
Anthony Edwards	MIN	MIN vs. PHI	03/04/2025	W	30	18	5	11	45.5	2	6	33.3	6	7	85.7	0	5	5	1	0	0	2	2	-3	23.5
Terrence Shannon Jr.	MIN	MIN vs. PHI	03/04/2025	W	10	2	1	1	100	0	0	-	0	0	-	1	1	2	0	0	0	1	2	12	3.4
Mike Conley	MIN	MIN vs. PHI	03/04/2025	W	25	12	4	6	66.7	3	5	60.0	1	1	100	1	6	7	6	0	0	2	1	20	27.4
Donte DiVincenzo	MIN	MIN vs. PHI	03/04/2025	W	23	12	4	9	44.4	4	7	57.1	0	0	-	0	2	2	8	1	0	1	5	12	28.4
Nickeil Alexander-Walker	MIN	MIN vs. PHI	03/04/2025	W	27	20	8	11	72.7	3	6	50.0	1	1	100	0	3	3	3	2	0	0	0	32	34.1
Anthony Edwards	MIN	MIN @ PHX	03/02/2025	W	36	44	12	22	54.5	6	14	42.9	14	14	100	0	5	5	7	2	0	1	0	22	65.5
Donte DiVincenzo	MIN	MIN @ PHX	03/02/2025	W	27	24	8	14	57.1	8	13	61.5	0	0	-	0	2	2	2	5	0	1	2	26	43.4
Jaylen Clark	MIN	MIN @ PHX	03/02/2025	W	11	3	1	3	33.3	1	2	50.0	0	0	-	1	1	2	0	0	0	0	1	4	5.4
Naz Reid	MIN	MIN @ PHX	03/02/2025	W	39	7	3	15	20.0	1	8	12.5	0	2	0.0	0	10	10	5	2	1	1	3	26	34.5
Nickeil Alexander-Walker	MIN	MIN @ PHX	03/02/2025	W	26	0	0	6	0.0	0	3	0.0	0	0	-	0	2	2	6	3	1	1	1	11	22.4
Julius Randle	MIN	MIN @ PHX	03/02/2025	W	34	20	8	14	57.1	2	5	40.0	2	2	100	2	4	6	3	0	0	2	4	0	29.7
Mike Conley	MIN	MIN @ PHX	03/02/2025	W	20	3	1	3	33.3	1	2	50.0	0	0	-	0	1	1	1	2	0	1	5	-5	10.7
Jaden McDaniels	MIN	MIN @ PHX	03/02/2025	W	33	13	5	9	55.6	2	4	50.0	1	1	100	2	5	7	4	3	0	1	1	25	35.4
Luka Garza	MIN	MIN @ UTA	02/28/2025	L	18	16	5	7	71.4	1	3	33.3	5	9	55.6	1	0	1	1	2	0	0	0	11	24.7
Donte DiVincenzo	MIN	MIN @ UTA	02/28/2025	L	26	12	4	13	30.8	4	10	40.0	0	0	-	0	7	7	5	2	1	0	2	14	36.9
Naz Reid	MIN	MIN @ UTA	02/28/2025	L	41	27	10	25	40.0	6	15	40.0	1	2	50.0	4	7	11	5	3	1	2	3	-5	57.7
Rob Dillingham	MIN	MIN @ UTA	02/28/2025	L	18	4	2	4	50.0	0	1	0.0	0	0	-	1	2	3	4	3	0	1	1	11	21.6
Jaylen Clark	MIN	MIN @ UTA	02/28/2025	L	16	5	2	5	40.0	1	3	33.3	0	0	-	1	0	1	2	3	0	1	2	14	17.2
Mike Conley	MIN	MIN @ UTA	02/28/2025	L	24	3	1	5	20.0	1	4	25.0	0	0	-	0	1	1	6	1	0	0	1	-16	16.2
Jaden McDaniels	MIN	MIN @ UTA	02/28/2025	L	35	20	9	16	56.3	2	6	33.3	0	0	-	2	8	10	5	2	0	2	2	-14	43.5
Terrence Shannon Jr.	MIN	MIN @ UTA	02/28/2025	L	28	17	7	16	43.8	3	5	60.0	0	1	0.0	1	3	4	5	0	1	0	1	-6	32.3
