PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
CJ McCollum	NOP	NOP @ LAL	03/04/2025	L	25	10	4	11	36.4	1	5	20.0	1	1	100	0	3	3	5	1	0	1	1	-29	23.1
Trey Murphy III	NOP	NOP @ LAL	03/04/2025	L	33	19	6	12	50.0	1	6	16.7	6	7	85.7	2	4	6	5	2	0	3	3	-29	36.7
Karlo Matković	NOP	NOP @ LAL	03/04/2025	L	18	5	2	4	50.0	0	1	0.0	1	1	100	1	3	4	3	0	1	1	0	-5	16.3
Yves Missi	NOP	NOP @ LAL	03/04/2025	L	24	2	1	4	25.0	0	0	-	0	2	0.0	1	1	2	1	3	0	0	1	-25	14.9
Bruce Brown	NOP	NOP @ LAL	03/04/2025	L	24	4	2	5	40.0	0	2	0.0	0	0	-	2	3	5	1	1	0	1	3	-17	13.5
Jordan Hawkins	NOP	NOP @ LAL	03/04/2025	L	29	17	6	14	42.9	4	10	40.0	1	2	50.0	0	4	4	1	1	0	1	1	-8	25.3
Jose Alvarado	NOP	NOP @ LAL	03/04/2025	L	26	5	2	8	25.0	1	6	16.7	0	0	-	0	2	2	3	1	0	0	1	2	14.9
Zion Williamson	NOP	NOP @ LAL	03/04/2025	L	26	37	17	23	73.9	0	0	-	3	6	50.0	1	3	4	6	1	1	0	3	13	56.8
Kelly Olynyk	NOP	NOP @ LAL	03/04/2025	L	27	11	4	9	44.4	1	2	50.0	2	2	100	2	2	4	2	1	1	2	4	-11	22.8
Jordan Hawkins	NOP	NOP @ UTA	03/02/2025	W	22	8	3	8	37.5	2	6	33.3	0	0	-	1	3	4	3	0	0	2	1	-3	15.3
Karlo Matković	NOP	NOP @ UTA	03/02/2025	W	20	6	3	5	60.0	0	1	0.0	0	2	0.0	2	3	5	1	0	2	0	4	-6	19.5
Jose Alvarado	NOP	NOP @ UTA	03/02/2025	W	24	3	1	7	14.3	1	5	20.0	0	0	-	0	0	0	2	0	0	0	0	-6	6.0
