PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Cameron Payne	NYK	NYK vs. GSW	03/04/2025	L	11	5	2	6	33.3	1	3	33.3	0	0	-	0	1	1	4	2	0	0	2	3	18.2
Josh Hart	NYK	NYK vs. GSW	03/04/2025	L	33	2	1	8	12.5	0	4	0.0	0	0	-	1	7	8	3	0	0	2	1	-22	14.1
Mitchell Robinson	NYK	NYK vs. GSW	03/04/2025	L	15	7	3	6	50.0	0	0	-	1	1	100	4	1	5	0	0	0	1	2	-10	12.0
Landry Shamet	NYK	NYK vs. GSW	03/04/2025	L	12	5	2	3	66.7	1	2	50.0	0	0	-	0	0	0	0	0	0	1	0	9	4.0
Miles McBride	NYK	NYK vs. GSW	03/04/2025	L	24	6	2	7	28.6	0	2	0.0	2	2	100	2	2	4	5	1	0	0	2	8	21.3
OG Anunoby	NYK	NYK vs. GSW	03/04/2025	L	42	29	11	19	57.9	4	9	44.4	3	5	60.0	2	1	3	3	0	0	4	4	-10	33.1
Precious Achiuwa	NYK	NYK vs. GSW	03/04/2025	L	30	8	4	10	40.0	0	1	0.0	0	0	-	4	11	15	0	0	1	0	2	-2	29.0
Mikal Bridges	NYK	NYK vs. GSW	03/04/2025	L	36	15	7	15	46.7	1	5	20.0	0	0	-	1	3	4	4	0	1	1	3	-21	27.8
Jalen Brunson	NYK	NYK vs. GSW	03/04/2025	L	37	25	9	18	50.0	1	7	14.3	6	7	85.7	0	2	2	7	1	0	4	1	-15	36.9
Cameron Payne	NYK	NYK @ MIA	03/02/2025	W	10	5	2	3	66.7	1	2	50.0	0	0	-	0	1	1	3	1	0	0	1	-5	13.7
Mikal Bridges	NYK	NYK @ MIA	03/02/2025	W	28	5	2	11	18.2	1	6	16.7	0	0	-	1	3	4	8	0	0	0	0	-5	21.8
Landry Shamet	NYK	NYK @ MIA	03/02/2025	W	14	5	2	4	50.0	1	3	33.3	0	0	-	0	0	0	0	0	0	1	2	-6	4.0
Karl-Anthony Towns	NYK	NYK @ MIA	03/02/2025	W	40	19	6	11	54.5	1	4	25.0	6	7	85.7	4	12	16	0	0	1	3	4	10	38.2
OG Anunoby	NYK	NYK @ MIA	03/02/2025	W	43	23	9	18	50.0	4	9	44.4	1	2	50.0	3	6	9	5	2	3	1	1	8	55.3
Josh Hart	NYK	NYK @ MIA	03/02/2025	W	43	14	7	12	58.3	0	2	0.0	0	0	-	0	7	7	3	0	1	1	0	1	28.9
Jalen Brunson	NYK	NYK @ MIA	03/02/2025	W	42	31	13	25	52.0	3	11	27.3	2	4	50.0	1	4	5	6	2	0	3	5	12	49.0
Mitchell Robinson	NYK	NYK @ MIA	03/02/2025	W	13	2	1	1	100	0	0	-	0	0	-	2	0	2	0	0	1	0	1	-6	7.4
Miles McBride	NYK	NYK @ MIA	03/02/2025	W	30	12	4	10	40.0	3	7	42.9	1	2	50.0	0	2	2	2	0	0	1	2	11	16.4
Cameron Payne	NYK	NYK @ MEM	02/28/2025	W	12	3	1	5	20.0	1	4	25.0	0	0	-	0	2	2	3	2	0	1	1	6	14.9
Landry Shamet	NYK	NYK @ MEM	02/28/2025	W	16	5	2	2	100	1	1	100	0	0	-	0	0	0	2	1	0	0	0	-2	11.0
Mitchell Robinson	NYK	NYK @ MEM	02/28/2025	W	12	6	3	4	75.0	0	0	-	0	0	-	1	4	5	1	0	0	0	1	11	13.5
Miles McBride	NYK	NYK @ MEM	02/28/2025	W	28	17	7	11	63.6	3	5	60.0	0	0	-	2	2	4	3	2	0	0	0	9	32.3
OG Anunoby	NYK	NYK @ MEM	02/28/2025	W	38	19	7	17	41.2	4	10	40.0	1	1	100	2	1	3	3	1	2	0	0	-4	36.1
Karl-Anthony Towns	NYK	NYK @ MEM	02/28/2025	W	31	11	4	11	36.4	1	5	20.0	2	3	66.7	1	6	7	2	0	1	1	5	-10	24.4
Josh Hart	NYK	NYK @ MEM	02/28/2025	W	29	12	2	6	33.3	1	2	50.0	7	8	87.5	0	4	4	6	1	1	3	5	-4	28.8
Mikal Bridges	NYK	NYK @ MEM	02/28/2025	W	33	15	7	14	50.0	0	5	0.0	1	2	50.0	0	2	2	3	0	2	0	1	1	27.9
Jalen Brunson	NYK	NYK @ MEM	02/28/2025	W	36	23	10	23	43.5	2	6	33.3	1	1	100	1	6	7	6	3	1	3	1	-2	49.4
Josh Hart	NYK	NYK vs. PHI	02/26/2025	W	39	7	3	5	60.0	0	0	-	1	4	25.0	3	14	17	4	1	1	7	2	11	32.4
Cameron Payne	NYK	NYK vs. PHI	02/26/2025	W	11	4	2	5	40.0	0	0	-	0	0	-	0	1	1	2	0	0	0	0	4	8.2
Precious Achiuwa	NYK	NYK vs. PHI	02/26/2025	W	31	7	3	6	50.0	0	0	-	1	2	50.0	2	4	6	2	0	4	2	2	3	27.2
Jalen Brunson	NYK	NYK vs. PHI	02/26/2025	W	36	34	8	17	47.1	3	5	60.0	15	16	93.8	0	3	3	7	1	0	2	1	3	49.1
Mikal Bridges	NYK	NYK vs. PHI	02/26/2025	W	41	28	12	18	66.7	3	5	60.0	1	2	50.0	0	2	2	3	2	1	1	1	1	42.9
OG Anunoby	NYK	NYK vs. PHI	02/26/2025	W	42	16	5	15	33.3	1	6	16.7	5	5	100	0	9	9	3	2	0	1	2	4	36.3
Miles McBride	NYK	NYK vs. PHI	02/26/2025	W	17	6	3	4	75.0	0	1	0.0	0	0	-	0	2	2	1	0	1	0	4	-3	12.9
Ariel Hukporti	NYK	NYK vs. PHI	02/26/2025	W	16	8	4	5	80.0	0	0	-	0	0	-	2	0	2	0	0	1	3	3	1	10.4
Cameron Payne	NYK	NYK @ BOS	02/23/2025	L	10	7	3	6	50.0	1	3	33.3	0	0	-	0	1	1	0	0	0	0	2	-4	8.2
OG Anunoby	NYK	NYK @ BOS	02/23/2025	L	35	10	2	7	28.6	2	6	33.3	4	4	100	0	2	2	2	0	0	1	3	-9	14.4
Mikal Bridges	NYK	NYK @ BOS	02/23/2025	L	28	14	6	13	46.2	2	6	33.3	0	0	-	0	0	0	1	1	0	1	2	-23	17.5
Jalen Brunson	NYK	NYK @ BOS	02/23/2025	L	38	22	9	19	47.4	4	9	44.4	0	0	-	0	3	3	4	1	0	4	0	-9	30.6
Precious Achiuwa	NYK	NYK @ BOS	02/23/2025	L	15	0	0	2	0.0	0	1	0.0	0	0	-	0	1	1	3	0	0	1	1	-9	4.7
Miles McBride	NYK	NYK @ BOS	02/23/2025	L	27	2	1	7	14.3	0	4	0.0	0	0	-	0	2	2	2	1	1	0	1	-4	13.4
Karl-Anthony Towns	NYK	NYK @ BOS	02/23/2025	L	41	24	9	20	45.0	3	4	75.0	3	3	100	5	13	18	0	0	0	1	4	-1	44.6
Josh Hart	NYK	NYK @ BOS	02/23/2025	L	40	20	8	14	57.1	0	0	-	4	4	100	2	9	11	9	0	0	2	2	-12	44.7
Landry Shamet	NYK	NYK @ CLE	02/21/2025	L	19	2	1	2	50.0	0	1	0.0	0	0	-	0	2	2	0	0	0	1	1	-15	3.4
Cameron Payne	NYK	NYK @ CLE	02/21/2025	L	16	5	1	7	14.3	1	3	33.3	2	2	100	0	0	0	4	0	0	0	0	-17	11.0
Precious Achiuwa	NYK	NYK @ CLE	02/21/2025	L	28	7	3	10	30.0	0	0	-	1	2	50.0	5	5	10	1	0	0	1	1	-25	19.5
Jalen Brunson	NYK	NYK @ CLE	02/21/2025	L	28	26	10	17	58.8	2	4	50.0	4	4	100	0	4	4	4	1	0	3	3	-17	36.8
Mikal Bridges	NYK	NYK @ CLE	02/21/2025	L	29	14	6	13	46.2	2	5	40.0	0	0	-	1	0	1	5	1	0	1	1	-22	24.7
OG Anunoby	NYK	NYK @ CLE	02/21/2025	L	27	5	2	6	33.3	1	3	33.3	0	0	-	0	0	0	0	1	0	2	1	-23	6.0
Karl-Anthony Towns	NYK	NYK @ CLE	02/21/2025	L	29	23	10	15	66.7	1	3	33.3	2	3	66.7	2	5	7	4	1	1	4	1	-21	39.4
Miles McBride	NYK	NYK @ CLE	02/21/2025	L	21	5	2	5	40.0	1	3	33.3	0	0	-	0	3	3	0	0	0	1	0	-20	7.6
Ariel Hukporti	NYK	NYK @ CLE	02/21/2025	L	19	4	2	2	100	0	0	-	0	2	0.0	1	1	2	3	1	1	2	4	-16	14.9
Pacome Dadiet	NYK	NYK @ CLE	02/21/2025	L	12	7	3	7	42.9	1	3	33.3	0	1	0.0	0	1	1	0	2	0	1	0	-6	13.2
Miles McBride	NYK	NYK vs. CHI	02/20/2025	W	42	23	9	19	47.4	5	12	41.7	0	0	-	3	3	6	3	3	3	0	1	-2	52.7
Precious Achiuwa	NYK	NYK vs. CHI	02/20/2025	W	46	11	5	11	45.5	1	3	33.3	0	0	-	0	9	9	0	3	0	1	2	0	29.8
Jalen Brunson	NYK	NYK vs. CHI	02/20/2025	W	38	22	8	21	38.1	2	9	22.2	4	4	100	0	3	3	12	1	1	2	1	3	47.6
Mikal Bridges	NYK	NYK vs. CHI	02/20/2025	W	44	13	6	16	37.5	1	5	20.0	0	0	-	4	6	10	5	0	2	4	0	1	34.5
Karl-Anthony Towns	NYK	NYK vs. CHI	02/20/2025	W	43	32	14	30	46.7	2	10	20.0	2	4	50.0	2	16	18	2	2	0	3	2	2	59.6
Ariel Hukporti	NYK	NYK vs. CHI	02/20/2025	W	17	2	1	1	100	0	0	-	0	0	-	1	4	5	0	0	1	0	3	2	11.0
Landry Shamet	NYK	NYK vs. CHI	02/20/2025	W	17	7	2	4	50.0	2	4	50.0	1	2	50.0	0	1	1	1	1	0	0	0	2	12.7
Cameron Payne	NYK	NYK vs. CHI	02/20/2025	W	17	3	1	5	20.0	1	3	33.3	0	0	-	0	2	2	5	0	0	1	3	2	11.9
Cameron Payne	NYK	NYK vs. ATL	02/12/2025	W	15	10	3	7	42.9	0	3	0.0	4	5	80.0	0	3	3	4	0	0	1	2	5	18.6
Landry Shamet	NYK	NYK vs. ATL	02/12/2025	W	18	4	2	3	66.7	0	0	-	0	0	-	0	1	1	1	0	0	1	2	4	5.7
Josh Hart	NYK	NYK vs. ATL	02/12/2025	W	46	18	5	13	38.5	0	3	0.0	8	8	100	3	7	10	6	1	1	3	5	-6	42.0
Mikal Bridges	NYK	NYK vs. ATL	02/12/2025	W	43	11	5	8	62.5	1	2	50.0	0	0	-	0	3	3	4	2	2	1	3	4	31.6
Jalen Brunson	NYK	NYK vs. ATL	02/12/2025	W	43	36	13	21	61.9	3	7	42.9	7	10	70.0	1	2	3	8	0	0	3	3	-11	48.6
Precious Achiuwa	NYK	NYK vs. ATL	02/12/2025	W	42	26	12	16	75.0	0	1	0.0	2	3	66.7	3	5	8	1	1	2	0	2	2	46.1
Karl-Anthony Towns	NYK	NYK vs. ATL	02/12/2025	W	47	44	14	25	56.0	7	10	70.0	9	11	81.8	1	9	10	3	2	0	7	4	7	59.5
Miles McBride	NYK	NYK @ IND	02/11/2025	W	25	15	4	7	57.1	4	4	100	3	3	100	0	3	3	1	0	0	1	2	25	19.1
Josh Hart	NYK	NYK @ IND	02/11/2025	W	40	30	12	16	75.0	1	3	33.3	5	7	71.4	2	8	10	5	2	0	3	4	15	52.5
