PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Chet Holmgren	OKC	OKC vs. HOU	03/03/2025	W	30	11	4	11	36.4	0	3	0.0	3	4	75.0	3	8	11	3	2	3	4	4	7	39.7
Luguentz Dort	OKC	OKC vs. HOU	03/03/2025	W	29	11	4	8	50.0	3	7	42.9	0	0	-	0	0	0	2	1	0	0	2	7	17.0
Cason Wallace	OKC	OKC vs. HOU	03/03/2025	W	32	14	4	9	44.4	2	5	40.0	4	4	100	1	4	5	4	3	0	1	1	6	34.0
Shai Gilgeous-Alexander	OKC	OKC vs. HOU	03/03/2025	W	36	51	18	30	60.0	5	9	55.6	10	10	100	2	3	5	7	1	1	2	1	6	71.5
Jalen Williams	OKC	OKC vs. HOU	03/03/2025	W	32	24	8	16	50.0	4	5	80.0	4	6	66.7	0	4	4	3	1	1	1	3	13	38.3
Aaron Wiggins	OKC	OKC vs. HOU	03/03/2025	W	25	8	3	9	33.3	2	5	40.0	0	0	-	2	5	7	2	1	0	2	1	-3	20.4
Isaiah Hartenstein	OKC	OKC vs. HOU	03/03/2025	W	25	8	3	4	75.0	0	0	-	2	2	100	1	4	5	6	1	1	2	4	8	27.0
Kenrich Williams	OKC	OKC vs. HOU	03/03/2025	W	17	7	3	6	50.0	1	1	100	0	0	-	5	2	7	2	0	0	1	2	5	17.4
Luguentz Dort	OKC	OKC @ SAS	03/02/2025	W	24	9	4	9	44.4	1	6	16.7	0	0	-	4	5	9	2	1	0	0	2	9	25.8
Kenrich Williams	OKC	OKC @ SAS	03/02/2025	W	10	0	0	0	-	0	0	-	0	0	-	1	2	3	1	1	0	0	1	3	8.1
Isaiah Hartenstein	OKC	OKC @ SAS	03/02/2025	W	29	10	5	8	62.5	0	0	-	0	0	-	3	8	11	7	0	1	2	2	17	34.7
Jalen Williams	OKC	OKC @ SAS	03/02/2025	W	33	41	15	24	62.5	4	8	50.0	7	7	100	0	6	6	6	1	1	0	2	12	63.2
Ousmane Dieng	OKC	OKC @ SAS	03/02/2025	W	16	7	3	5	60.0	1	3	33.3	0	0	-	0	2	2	1	0	1	0	1	-1	13.9
Aaron Wiggins	OKC	OKC @ SAS	03/02/2025	W	24	17	6	12	50.0	5	8	62.5	0	2	0.0	0	3	3	2	1	0	2	2	10	24.6
Cason Wallace	OKC	OKC @ SAS	03/02/2025	W	35	19	7	14	50.0	4	8	50.0	1	1	100	0	3	3	4	1	0	1	2	21	30.6
Jaylin Williams	OKC	OKC @ SAS	03/02/2025	W	13	2	1	3	33.3	0	2	0.0	0	0	-	1	2	3	1	0	0	0	1	-7	7.1
Shai Gilgeous-Alexander	OKC	OKC @ SAS	03/02/2025	W	32	31	10	19	52.6	3	5	60.0	8	9	88.9	2	2	4	8	1	2	0	1	15	56.8
Alex Caruso	OKC	OKC @ SAS	03/02/2025	W	20	10	4	7	57.1	1	4	25.0	1	1	100	1	0	1	2	1	1	1	0	1	19.2
Cason Wallace	OKC	OKC @ ATL	02/28/2025	W	28	8	4	9	44.4	0	2	0.0	0	0	-	0	3	3	4	2	0	1	3	7	22.6
Jaylin Williams	OKC	OKC @ ATL	02/28/2025	W	13	3	1	1	100	1	1	100	0	0	-	1	3	4	3	1	0	0	1	17	15.3
Aaron Wiggins	OKC	OKC @ ATL	02/28/2025	W	26	13	5	10	50.0	3	5	60.0	0	0	-	3	3	6	2	0	0	1	0	4	22.2
Kenrich Williams	OKC	OKC @ ATL	02/28/2025	W	19	5	2	4	50.0	1	3	33.3	0	0	-	1	3	4	5	0	0	2	2	9	15.3
Jalen Williams	OKC	OKC @ ATL	02/28/2025	W	33	20	6	16	37.5	4	8	50.0	4	4	100	1	4	5	8	1	0	3	1	9	38.0
Isaiah Hartenstein	OKC	OKC @ ATL	02/28/2025	W	27	13	6	8	75.0	0	0	-	1	2	50.0	2	8	10	6	2	1	2	5	-13	41.0
Chet Holmgren	OKC	OKC @ ATL	02/28/2025	W	15	7	3	8	37.5	0	4	0.0	1	2	50.0	0	4	4	3	0	0	1	0	12	15.3
Isaiah Joe	OKC	OKC @ ATL	02/28/2025	W	11	12	4	8	50.0	4	8	50.0	0	0	-	0	0	0	0	0	0	0	3	-6	12.0
Luguentz Dort	OKC	OKC @ ATL	02/28/2025	W	32	20	7	13	53.8	6	11	54.5	0	0	-	1	3	4	1	2	0	0	3	15	32.3
Shai Gilgeous-Alexander	OKC	OKC @ ATL	02/28/2025	W	34	31	12	23	52.2	3	7	42.9	4	4	100	0	3	3	5	2	0	1	0	23	47.1
Cason Wallace	OKC	OKC @ BKN	02/26/2025	W	30	13	6	10	60.0	1	3	33.3	0	0	-	0	3	3	2	3	0	3	3	17	25.6
Jalen Williams	OKC	OKC @ BKN	02/26/2025	W	34	22	8	16	50.0	1	5	20.0	5	7	71.4	1	4	5	4	0	1	2	5	10	35.0
Isaiah Hartenstein	OKC	OKC @ BKN	02/26/2025	W	24	13	6	9	66.7	0	0	-	1	2	50.0	0	2	2	3	1	0	0	4	-22	22.9
Shai Gilgeous-Alexander	OKC	OKC @ BKN	02/26/2025	W	34	27	7	11	63.6	1	2	50.0	12	13	92.3	2	4	6	5	2	0	3	2	-15	44.7
Luguentz Dort	OKC	OKC @ BKN	02/26/2025	W	21	3	1	7	14.3	1	5	20.0	0	0	-	0	1	1	2	1	0	2	2	-19	8.2
Isaiah Joe	OKC	OKC @ BKN	02/26/2025	W	12	0	0	2	0.0	0	2	0.0	0	0	-	1	1	2	0	0	0	0	1	-3	2.4
Chet Holmgren	OKC	OKC @ BKN	02/26/2025	W	32	22	7	12	58.3	2	4	50.0	6	7	85.7	4	13	17	4	2	3	0	1	14	63.4
Aaron Wiggins	OKC	OKC @ BKN	02/26/2025	W	29	24	11	19	57.9	2	7	28.6	0	0	-	2	3	5	3	0	0	1	1	26	33.5
Alex Caruso	OKC	OKC @ BKN	02/26/2025	W	20	5	2	3	66.7	1	1	100	0	0	-	1	1	2	3	1	0	0	2	27	14.9
Cason Wallace	OKC	OKC vs. MIN	02/24/2025	L	34	12	5	11	45.5	2	8	25.0	0	0	-	1	5	6	1	1	0	0	6	0	23.7
Alex Caruso	OKC	OKC vs. MIN	02/24/2025	L	24	5	2	8	25.0	1	4	25.0	0	0	-	2	2	4	4	2	2	1	4	-11	26.8
Isaiah Hartenstein	OKC	OKC vs. MIN	02/24/2025	L	16	4	1	4	25.0	0	1	0.0	2	2	100	4	1	5	2	0	1	1	3	13	15.0
Jaylin Williams	OKC	OKC vs. MIN	02/24/2025	L	18	6	2	3	66.7	2	3	66.7	0	0	-	1	5	6	2	0	1	0	0	5	19.2
Jalen Williams	OKC	OKC vs. MIN	02/24/2025	L	42	27	10	23	43.5	2	8	25.0	5	6	83.3	2	4	6	6	1	1	3	3	-5	46.2
Aaron Wiggins	OKC	OKC vs. MIN	02/24/2025	L	29	19	8	16	50.0	1	6	16.7	2	2	100	3	4	7	0	2	1	0	4	-9	36.4
Shai Gilgeous-Alexander	OKC	OKC vs. MIN	02/24/2025	L	42	39	11	20	55.0	3	5	60.0	14	17	82.4	1	9	10	8	0	0	4	5	2	59.0
Isaiah Joe	OKC	OKC vs. MIN	02/24/2025	L	18	9	3	7	42.9	3	6	50.0	0	0	-	1	2	3	2	3	1	0	2	11	27.6
Luguentz Dort	OKC	OKC vs. MIN	02/24/2025	L	29	5	2	10	20.0	1	5	20.0	0	2	0.0	1	2	3	1	1	1	1	2	-22	15.1
Kenrich Williams	OKC	OKC vs. MIN	02/24/2025	L	12	2	1	4	25.0	0	3	0.0	0	0	-	0	3	3	1	0	0	1	1	1	6.1
Alex Caruso	OKC	OKC @ MIN	02/23/2025	W	24	11	4	8	50.0	3	6	50.0	0	0	-	2	5	7	2	2	0	1	2	18	27.4
Shai Gilgeous-Alexander	OKC	OKC @ MIN	02/23/2025	W	38	37	13	24	54.2	3	6	50.0	8	11	72.7	0	8	8	8	3	3	5	3	16	71.6
Luguentz Dort	OKC	OKC @ MIN	02/23/2025	W	32	4	2	4	50.0	0	2	0.0	0	0	-	0	3	3	2	1	0	0	3	-1	13.6
Chet Holmgren	OKC	OKC @ MIN	02/23/2025	W	28	19	8	11	72.7	3	4	75.0	0	0	-	1	3	4	1	0	3	1	2	4	33.3
Jalen Williams	OKC	OKC @ MIN	02/23/2025	W	36	18	6	14	42.9	3	5	60.0	3	4	75.0	0	3	3	9	3	1	3	4	-2	44.1
Isaiah Hartenstein	OKC	OKC @ MIN	02/23/2025	W	26	12	6	8	75.0	0	0	-	0	0	-	2	7	9	5	0	0	1	3	-4	29.3
