PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Jonathan Isaac	ORL	ORL vs. TOR	03/04/2025	L	18	3	1	4	25.0	1	3	33.3	0	0	-	0	3	3	1	1	3	0	3	8	20.1
Goga Bitadze	ORL	ORL vs. TOR	03/04/2025	L	16	2	0	0	-	0	0	-	2	4	50.0	2	3	5	3	0	1	1	3	-5	14.5
Franz Wagner	ORL	ORL vs. TOR	03/04/2025	L	36	28	11	23	47.8	3	7	42.9	3	4	75.0	0	5	5	1	0	0	4	4	8	31.5
Anthony Black	ORL	ORL vs. TOR	03/04/2025	L	15	5	1	4	25.0	0	2	0.0	3	4	75.0	2	0	2	1	1	0	1	3	1	10.9
Tristan da Silva	ORL	ORL vs. TOR	03/04/2025	L	28	12	4	5	80.0	4	5	80.0	0	0	-	1	2	3	2	1	0	1	2	8	20.6
Jett Howard	ORL	ORL vs. TOR	03/04/2025	L	10	0	0	4	0.0	0	3	0.0	0	0	-	0	0	0	1	1	0	1	1	-2	3.5
Paolo Banchero	ORL	ORL vs. TOR	03/04/2025	L	40	41	14	20	70.0	4	5	80.0	9	10	90.0	0	8	8	8	4	1	3	2	-6	74.6
Wendell Carter Jr.	ORL	ORL vs. TOR	03/04/2025	L	24	2	1	5	20.0	0	2	0.0	0	0	-	2	4	6	3	1	0	1	5	-6	15.7
Kentavious Caldwell-Pope	ORL	ORL vs. TOR	03/04/2025	L	27	12	5	11	45.5	1	3	33.3	1	1	100	0	2	2	3	2	0	1	1	-10	23.9
Cory Joseph	ORL	ORL vs. TOR	03/04/2025	L	26	8	3	7	42.9	2	6	33.3	0	0	-	0	1	1	5	1	0	1	3	-1	18.7
Paolo Banchero	ORL	ORL vs. TOR	03/02/2025	L	39	23	5	9	55.6	1	3	33.3	12	15	80.0	1	3	4	5	1	0	4	2	12	34.3
Franz Wagner	ORL	ORL vs. TOR	03/02/2025	L	37	25	9	17	52.9	1	4	25.0	6	6	100	1	3	4	1	0	0	0	1	-1	31.3
Wendell Carter Jr.	ORL	ORL vs. TOR	03/02/2025	L	32	14	3	6	50.0	1	3	33.3	7	8	87.5	2	7	9	5	0	1	3	3	0	32.3
Kentavious Caldwell-Pope	ORL	ORL vs. TOR	03/02/2025	L	39	12	5	7	71.4	1	2	50.0	1	1	100	0	3	3	1	1	0	2	3	12	18.1
Jett Howard	ORL	ORL vs. TOR	03/02/2025	L	14	5	2	4	50.0	1	3	33.3	0	0	-	1	0	1	0	0	1	0	2	-8	9.2
Anthony Black	ORL	ORL vs. TOR	03/02/2025	L	14	7	1	6	16.7	0	0	-	5	6	83.3	0	1	1	2	0	0	1	3	-21	10.2
Cory Joseph	ORL	ORL vs. TOR	03/02/2025	L	10	5	1	1	100	1	1	100	2	2	100	0	2	2	0	0	0	0	0	14	7.4
Goga Bitadze	ORL	ORL vs. TOR	03/02/2025	L	16	1	0	4	0.0	0	2	0.0	1	2	50.0	1	1	2	2	0	1	1	3	-2	8.4
