PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Jared Butler	PHI	PHI @ MIN	03/04/2025	L	25	11	4	7	57.1	0	2	0.0	3	4	75.0	1	2	3	4	0	0	3	0	-5	17.6
Quentin Grimes	PHI	PHI @ MIN	03/04/2025	L	39	30	12	18	66.7	3	7	42.9	3	3	100	1	2	3	2	3	0	2	2	-14	43.6
Paul George	PHI	PHI @ MIN	03/04/2025	L	30	7	3	11	27.3	1	6	16.7	0	0	-	0	7	7	6	2	0	2	1	7	28.4
Guerschon Yabusele	PHI	PHI @ MIN	03/04/2025	L	36	18	7	14	50.0	1	5	20.0	3	4	75.0	3	4	7	0	2	0	1	3	-7	31.4
Jeff Dowtin Jr.	PHI	PHI @ MIN	03/04/2025	L	11	5	0	0	-	0	0	-	5	8	62.5	2	1	3	2	0	0	0	1	-6	11.6
Andre Drummond	PHI	PHI @ MIN	03/04/2025	L	19	4	1	5	20.0	0	1	0.0	2	2	100	3	4	7	3	0	1	0	4	-15	19.9
Kelly Oubre Jr.	PHI	PHI @ MIN	03/04/2025	L	40	24	11	19	57.9	1	4	25.0	1	3	33.3	1	2	3	2	1	1	3	2	-12	33.6
Lonnie Walker IV	PHI	PHI @ MIN	03/04/2025	L	22	6	2	7	28.6	1	4	25.0	1	1	100	1	1	2	1	1	0	2	2	-25	10.9
Guerschon Yabusele	PHI	PHI vs. POR	03/03/2025	L	35	9	3	5	60.0	2	4	50.0	1	2	50.0	1	2	3	3	0	0	0	1	-4	17.1
Quentin Grimes	PHI	PHI vs. POR	03/03/2025	L	38	14	6	15	40.0	0	5	0.0	2	2	100	2	4	6	9	0	0	3	3	-10	31.7
Tyrese Maxey	PHI	PHI vs. POR	03/03/2025	L	23	5	2	13	15.4	1	7	14.3	0	0	-	0	0	0	6	1	0	0	0	-15	17.0
Lonnie Walker IV	PHI	PHI vs. POR	03/03/2025	L	28	13	4	8	50.0	3	6	50.0	2	2	100	0	3	3	2	2	2	0	2	-9	31.6
Jeff Dowtin Jr.	PHI	PHI vs. POR	03/03/2025	L	19	11	5	9	55.6	1	2	50.0	0	0	-	0	2	2	2	0	0	1	1	1	15.4
Ricky Council IV	PHI	PHI vs. POR	03/03/2025	L	18	3	1	6	16.7	1	4	25.0	0	0	-	1	1	2	2	0	0	0	0	-13	8.4
Justin Edwards	PHI	PHI vs. POR	03/03/2025	L	37	16	7	15	46.7	2	5	40.0	0	0	-	3	3	6	1	1	0	3	3	-16	24.7
Andre Drummond	PHI	PHI vs. POR	03/03/2025	L	29	25	11	19	57.9	1	2	50.0	2	4	50.0	6	12	18	1	2	0	0	4	-10	54.1
Paul George	PHI	PHI vs. GSW	03/01/2025	W	39	17	6	13	46.2	3	5	60.0	2	2	100	1	7	8	4	2	1	3	4	14	38.6
Justin Edwards	PHI	PHI vs. GSW	03/01/2025	W	16	4	2	3	66.7	0	1	0.0	0	0	-	0	1	1	0	0	0	0	4	-1	5.2
Jeff Dowtin Jr.	PHI	PHI vs. GSW	03/01/2025	W	14	5	2	3	66.7	1	1	100	0	0	-	0	0	0	3	0	0	0	0	12	9.5
Tyrese Maxey	PHI	PHI vs. GSW	03/01/2025	W	40	5	2	14	14.3	0	2	0.0	1	1	100	1	2	3	11	2	0	2	1	2	29.1
Guerschon Yabusele	PHI	PHI vs. GSW	03/01/2025	W	27	18	5	8	62.5	5	7	71.4	3	4	75.0	1	5	6	5	0	0	2	1	4	30.7
Quentin Grimes	PHI	PHI vs. GSW	03/01/2025	W	37	44	18	24	75.0	6	9	66.7	2	8	25.0	1	5	6	1	3	1	2	3	-5	62.7
Kelly Oubre Jr.	PHI	PHI vs. GSW	03/01/2025	W	42	20	6	13	46.2	3	6	50.0	5	7	71.4	1	1	2	1	1	1	2	2	1	27.9
Andre Drummond	PHI	PHI vs. GSW	03/01/2025	W	21	10	3	5	60.0	0	1	0.0	4	6	66.7	5	9	14	2	0	0	2	4	3	27.8
Quentin Grimes	PHI	PHI @ NYK	02/26/2025	L	21	3	1	4	25.0	1	3	33.3	0	0	-	0	1	1	0	1	1	1	1	-4	9.2
Lonnie Walker IV	PHI	PHI @ NYK	02/26/2025	L	11	2	1	4	25.0	0	2	0.0	0	0	-	0	1	1	0	0	1	0	0	-5	6.2
Andre Drummond	PHI	PHI @ NYK	02/26/2025	L	29	7	3	6	50.0	0	0	-	1	2	50.0	4	5	9	5	2	1	1	1	0	33.3
Tyrese Maxey	PHI	PHI @ NYK	02/26/2025	L	44	30	12	32	37.5	0	10	0.0	6	6	100	1	3	4	5	1	1	1	2	-3	47.3
Adem Bona	PHI	PHI @ NYK	02/26/2025	L	17	5	2	2	100	0	0	-	1	2	50.0	1	4	5	0	1	1	1	5	-3	16.0
Justin Edwards	PHI	PHI @ NYK	02/26/2025	L	28	6	2	6	33.3	2	4	50.0	0	0	-	0	1	1	2	1	0	1	3	1	12.2
Paul George	PHI	PHI @ NYK	02/26/2025	L	42	25	9	20	45.0	4	9	44.4	3	4	75.0	2	6	8	7	3	0	7	3	-4	47.1
Kelly Oubre Jr.	PHI	PHI @ NYK	02/26/2025	L	42	27	9	14	64.3	4	6	66.7	5	6	83.3	1	4	5	1	3	1	1	4	-9	45.5
Ricky Council IV	PHI	PHI vs. CHI	02/24/2025	L	23	12	4	9	44.4	0	3	0.0	4	4	100	3	1	4	2	3	0	2	0	-4	26.8
David Roddy	PHI	PHI vs. CHI	02/24/2025	L	11	12	5	11	45.5	2	7	28.6	0	0	-	1	2	3	1	2	0	1	0	5	22.1
Paul George	PHI	PHI vs. CHI	02/24/2025	L	30	19	8	16	50.0	2	7	28.6	1	2	50.0	0	2	2	2	2	2	2	2	-28	34.4
Andre Drummond	PHI	PHI vs. CHI	02/24/2025	L	14	10	1	3	33.3	0	0	-	8	8	100	4	4	8	0	1	0	2	3	-18	20.6
Kelly Oubre Jr.	PHI	PHI vs. CHI	02/24/2025	L	33	19	7	13	53.8	0	3	0.0	5	6	83.3	3	5	8	1	0	0	1	5	-34	29.1
Guerschon Yabusele	PHI	PHI vs. CHI	02/24/2025	L	13	0	0	4	0.0	0	3	0.0	0	0	-	1	0	1	1	1	0	0	1	-15	5.7
Quentin Grimes	PHI	PHI vs. CHI	02/24/2025	L	24	9	3	8	37.5	3	6	50.0	0	0	-	0	3	3	1	0	1	1	2	-19	16.1
Tyrese Maxey	PHI	PHI vs. CHI	02/24/2025	L	29	13	3	10	30.0	1	2	50.0	6	7	85.7	0	0	0	2	0	1	2	2	-27	17.0
Adem Bona	PHI	PHI vs. CHI	02/24/2025	L	17	4	1	2	50.0	0	0	-	2	2	100	2	4	6	0	0	1	1	4	4	13.2
Lonnie Walker IV	PHI	PHI vs. CHI	02/24/2025	L	24	5	2	11	18.2	1	7	14.3	0	0	-	0	7	7	3	0	0	2	1	-10	15.9
Jared Butler	PHI	PHI vs. CHI	02/24/2025	L	14	7	3	5	60.0	1	2	50.0	0	0	-	1	3	4	5	1	0	2	2	-5	20.3
Guerschon Yabusele	PHI	PHI vs. BKN	02/22/2025	L	23	5	1	4	25.0	1	3	33.3	2	2	100	3	5	8	1	3	2	2	1	5	29.1
Quentin Grimes	PHI	PHI vs. BKN	02/22/2025	L	37	16	6	12	50.0	3	6	50.0	1	1	100	3	4	7	5	2	0	3	1	-6	34.9
Paul George	PHI	PHI vs. BKN	02/22/2025	L	40	15	5	10	50.0	1	6	16.7	4	5	80.0	1	6	7	2	3	1	1	1	3	37.4
Tyrese Maxey	PHI	PHI vs. BKN	02/22/2025	L	43	31	10	23	43.5	5	11	45.5	6	6	100	0	2	2	5	0	1	2	3	-1	41.9
Joel Embiid	PHI	PHI vs. BKN	02/22/2025	L	31	14	4	13	30.8	0	6	0.0	6	6	100	2	5	7	5	0	1	3	1	-7	29.9
Lonnie Walker IV	PHI	PHI vs. BKN	02/22/2025	L	10	0	0	3	0.0	0	3	0.0	0	0	-	0	2	2	0	0	0	0	0	-7	2.4
Kelly Oubre Jr.	PHI	PHI vs. BKN	02/22/2025	L	38	14	7	16	43.8	0	3	0.0	0	0	-	3	2	5	1	0	0	2	5	0	19.5
Ricky Council IV	PHI	PHI vs. BOS	02/20/2025	L	22	10	4	10	40.0	2	5	40.0	0	0	-	1	0	1	2	0	0	1	0	-4	13.2
David Roddy	PHI	PHI vs. BOS	02/20/2025	L	13	4	2	7	28.6	0	4	0.0	0	0	-	0	5	5	2	0	0	0	1	6	13.0
Guerschon Yabusele	PHI	PHI vs. BOS	02/20/2025	L	25	4	2	6	33.3	0	1	0.0	0	0	-	3	5	8	0	1	0	0	3	-4	16.6
Tyrese Maxey	PHI	PHI vs. BOS	02/20/2025	L	34	16	6	10	60.0	1	4	25.0	3	3	100	0	5	5	7	1	0	0	2	-25	35.5
Quentin Grimes	PHI	PHI vs. BOS	02/20/2025	L	33	12	5	12	41.7	1	5	20.0	1	1	100	0	7	7	3	0	0	2	3	-16	22.9
Kelly Oubre Jr.	PHI	PHI vs. BOS	02/20/2025	L	35	16	6	14	42.9	1	6	16.7	3	3	100	1	3	4	0	3	0	3	5	-15	26.8
Joel Embiid	PHI	PHI vs. BOS	02/20/2025	L	27	15	3	9	33.3	0	2	0.0	9	9	100	1	2	3	4	0	0	2	2	-20	22.6
Andre Drummond	PHI	PHI vs. BOS	02/20/2025	L	13	8	4	6	66.7	0	0	-	0	1	0.0	3	4	7	1	0	0	1	0	-5	16.9
