PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Deni Avdija	POR	POR @ PHI	03/03/2025	W	33	9	3	14	21.4	0	4	0.0	3	6	50.0	1	5	6	4	0	0	2	3	5	20.2
Scoot Henderson	POR	POR @ PHI	03/03/2025	W	22	7	3	9	33.3	0	4	0.0	1	2	50.0	1	2	3	6	0	0	2	3	4	17.6
Toumani Camara	POR	POR @ PHI	03/03/2025	W	33	11	5	8	62.5	1	3	33.3	0	0	-	4	5	9	1	0	0	0	2	7	23.3
Donovan Clingan	POR	POR @ PHI	03/03/2025	W	29	13	6	12	50.0	0	1	0.0	1	2	50.0	7	6	13	2	1	3	1	3	10	42.6
Anfernee Simons	POR	POR @ PHI	03/03/2025	W	32	34	13	26	50.0	6	11	54.5	2	2	100	2	2	4	3	2	0	2	1	22	47.3
Shaedon Sharpe	POR	POR @ PHI	03/03/2025	W	37	20	8	17	47.1	1	7	14.3	3	3	100	3	8	11	5	1	0	1	0	16	42.7
Kris Murray	POR	POR @ PHI	03/03/2025	W	14	4	2	3	66.7	0	1	0.0	0	2	0.0	2	4	6	2	0	0	1	0	17	13.2
Duop Reath	POR	POR @ PHI	03/03/2025	W	18	13	5	6	83.3	3	4	75.0	0	0	-	1	4	5	2	1	2	1	0	6	30.0
Duop Reath	POR	POR @ CLE	03/02/2025	L	21	7	2	5	40.0	1	4	25.0	2	2	100	1	4	5	0	1	1	1	1	8	18.0
Toumani Camara	POR	POR @ CLE	03/02/2025	L	43	19	7	11	63.6	3	5	60.0	2	2	100	2	3	5	2	4	0	4	2	10	36.0
Shaedon Sharpe	POR	POR @ CLE	03/02/2025	L	38	18	7	20	35.0	1	6	16.7	3	3	100	2	4	6	2	1	0	2	2	-2	29.2
Scoot Henderson	POR	POR @ CLE	03/02/2025	L	33	15	5	12	41.7	3	5	60.0	2	4	50.0	1	3	4	6	1	0	1	4	8	30.8
Deni Avdija	POR	POR @ CLE	03/02/2025	L	42	30	8	13	61.5	1	3	33.3	13	13	100	1	11	12	10	0	0	5	4	7	54.4
Anfernee Simons	POR	POR @ CLE	03/02/2025	L	42	27	8	23	34.8	4	12	33.3	7	7	100	0	2	2	2	0	0	2	2	-14	30.4
Donovan Clingan	POR	POR @ CLE	03/02/2025	L	11	4	1	2	50.0	0	0	-	2	4	50.0	1	2	3	2	1	0	0	6	-10	13.6
Kris Murray	POR	POR @ CLE	03/02/2025	L	10	0	0	3	0.0	0	1	0.0	0	0	-	1	2	3	0	0	0	0	2	-15	3.6
Dalano Banton	POR	POR @ CLE	03/02/2025	L	17	7	3	5	60.0	1	3	33.3	0	0	-	3	1	4	1	0	0	3	2	-13	10.3
Dalano Banton	POR	POR @ BKN	02/28/2025	W	25	23	8	11	72.7	3	4	75.0	4	5	80.0	1	7	8	0	1	0	3	1	11	32.6
Scoot Henderson	POR	POR @ BKN	02/28/2025	W	27	12	4	9	44.4	1	6	16.7	3	4	75.0	0	3	3	9	3	1	4	3	18	37.1
Donovan Clingan	POR	POR @ BKN	02/28/2025	W	28	12	5	8	62.5	0	0	-	2	7	28.6	3	4	7	3	0	2	1	3	22	29.9
Toumani Camara	POR	POR @ BKN	02/28/2025	W	36	19	6	11	54.5	4	7	57.1	3	4	75.0	0	3	3	4	1	0	2	3	27	29.6
Anfernee Simons	POR	POR @ BKN	02/28/2025	W	31	14	6	11	54.5	2	6	33.3	0	0	-	1	2	3	6	1	0	2	0	15	27.6
Kris Murray	POR	POR @ BKN	02/28/2025	W	30	11	5	8	62.5	1	4	25.0	0	0	-	0	2	2	1	3	0	2	1	0	21.9
