PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Jonas Valančiūnas	SAC	SAC @ DAL	03/03/2025	W	23	14	6	15	40.0	0	0	-	2	2	100	3	6	9	3	0	2	0	2	21	35.3
Zach LaVine	SAC	SAC @ DAL	03/03/2025	W	29	22	8	12	66.7	4	5	80.0	2	2	100	0	3	3	2	1	0	1	0	29	30.6
Trey Lyles	SAC	SAC @ DAL	03/03/2025	W	20	9	4	4	100	1	1	100	0	0	-	1	8	9	6	0	0	0	1	4	28.8
Malik Monk	SAC	SAC @ DAL	03/03/2025	W	23	13	5	10	50.0	3	5	60.0	0	0	-	0	1	1	8	2	0	0	1	21	32.2
Keegan Murray	SAC	SAC @ DAL	03/03/2025	W	25	18	6	10	60.0	4	8	50.0	2	2	100	1	4	5	3	0	0	1	1	30	27.5
Jake LaRavia	SAC	SAC @ DAL	03/03/2025	W	28	8	2	6	33.3	2	4	50.0	2	2	100	3	1	4	2	0	0	1	3	-2	14.8
Keon Ellis	SAC	SAC @ DAL	03/03/2025	W	27	0	0	7	0.0	0	6	0.0	0	0	-	0	2	2	1	0	2	0	4	2	9.9
Markelle Fultz	SAC	SAC @ DAL	03/03/2025	W	16	6	3	5	60.0	0	0	-	0	0	-	0	1	1	4	1	0	3	1	1	13.2
DeMar DeRozan	SAC	SAC @ DAL	03/03/2025	W	30	20	8	15	53.3	0	2	0.0	4	4	100	0	2	2	4	0	0	1	2	23	27.4
Jake LaRavia	SAC	SAC @ HOU	03/01/2025	W	16	5	2	6	33.3	1	4	25.0	0	0	-	1	3	4	1	0	0	0	1	2	11.3
Keon Ellis	SAC	SAC @ HOU	03/01/2025	W	27	12	4	5	80.0	1	2	50.0	3	3	100	1	4	5	0	5	1	1	4	-2	35.0
Trey Lyles	SAC	SAC @ HOU	03/01/2025	W	17	5	2	6	33.3	1	2	50.0	0	2	0.0	3	2	5	2	1	1	0	1	3	20.0
Zach LaVine	SAC	SAC @ HOU	03/01/2025	W	37	20	8	16	50.0	2	5	40.0	2	3	66.7	1	5	6	4	2	0	4	0	21	35.2
DeMar DeRozan	SAC	SAC @ HOU	03/01/2025	W	40	21	7	18	38.9	1	5	20.0	6	7	85.7	1	1	2	6	0	0	2	4	13	30.4
Jonas Valančiūnas	SAC	SAC @ HOU	03/01/2025	W	30	15	7	10	70.0	0	0	-	1	1	100	5	9	14	1	4	3	1	5	6	53.3
Malik Monk	SAC	SAC @ HOU	03/01/2025	W	34	16	7	13	53.8	1	4	25.0	1	1	100	0	5	5	4	0	0	5	1	-2	23.0
Keegan Murray	SAC	SAC @ HOU	03/01/2025	W	33	13	5	11	45.5	2	6	33.3	1	1	100	1	4	5	2	1	0	0	1	3	25.0
Malik Monk	SAC	SAC @ UTA	02/26/2025	W	35	13	5	12	41.7	1	5	20.0	2	2	100	1	8	9	6	1	0	3	0	13	32.8
Keegan Murray	SAC	SAC @ UTA	02/26/2025	W	33	26	9	16	56.3	5	10	50.0	3	4	75.0	1	5	6	2	0	2	0	1	6	42.2
DeMar DeRozan	SAC	SAC @ UTA	02/26/2025	W	34	19	8	14	57.1	1	2	50.0	2	2	100	1	5	6	8	2	1	0	1	1	47.2
Jonas Valančiūnas	SAC	SAC @ UTA	02/26/2025	W	14	15	6	7	85.7	1	1	100	2	2	100	3	4	7	2	0	0	1	1	14	25.4
Zach LaVine	SAC	SAC @ UTA	02/26/2025	W	38	22	9	18	50.0	4	8	50.0	0	0	-	0	8	8	3	0	0	3	0	10	33.1
Keon Ellis	SAC	SAC @ UTA	02/26/2025	W	33	11	4	5	80.0	3	4	75.0	0	0	-	1	0	1	2	2	3	1	3	22	29.2
Jake LaRavia	SAC	SAC @ UTA	02/26/2025	W	15	0	0	3	0.0	0	2	0.0	0	0	-	0	0	0	0	0	0	1	4	11	-1.0
Domantas Sabonis	SAC	SAC @ UTA	02/26/2025	W	34	12	5	12	41.7	0	4	0.0	2	2	100	0	9	9	5	1	1	3	3	3	33.3
Markelle Fultz	SAC	SAC vs. CHA	02/24/2025	W	18	5	2	7	28.6	1	2	50.0	0	0	-	1	2	3	1	3	0	3	3	12	16.1
Malik Monk	SAC	SAC vs. CHA	02/24/2025	W	31	13	5	14	35.7	2	8	25.0	1	1	100	1	3	4	10	1	2	5	2	25	36.8
DeMar DeRozan	SAC	SAC vs. CHA	02/24/2025	W	31	18	4	12	33.3	2	3	66.7	8	8	100	1	6	7	3	1	0	1	1	8	32.9
Domantas Sabonis	SAC	SAC vs. CHA	02/24/2025	W	27	7	3	7	42.9	0	2	0.0	1	2	50.0	2	8	10	7	0	0	4	2	9	25.5
Jake LaRavia	SAC	SAC vs. CHA	02/24/2025	W	16	0	0	0	-	0	0	-	0	0	-	0	2	2	5	1	0	1	3	28	11.9
Trey Lyles	SAC	SAC vs. CHA	02/24/2025	W	13	8	3	3	100	2	2	100	0	0	-	1	3	4	1	1	0	0	1	28	17.3
Zach LaVine	SAC	SAC vs. CHA	02/24/2025	W	31	42	16	19	84.2	8	9	88.9	2	3	66.7	0	3	3	2	1	0	3	0	36	48.6
Jonas Valančiūnas	SAC	SAC vs. CHA	02/24/2025	W	14	6	2	4	50.0	0	1	0.0	2	2	100	2	6	8	1	1	1	0	2	28	23.1
Keegan Murray	SAC	SAC vs. CHA	02/24/2025	W	25	10	4	9	44.4	2	6	33.3	0	0	-	2	3	5	0	2	0	0	2	9	22.0
Keegan Murray	SAC	SAC vs. GSW	02/21/2025	L	34	13	5	10	50.0	3	5	60.0	0	0	-	2	3	5	0	1	1	1	3	-5	24.0
Jake LaRavia	SAC	SAC vs. GSW	02/21/2025	L	16	0	0	5	0.0	0	2	0.0	0	0	-	3	1	4	0	2	0	2	0	-18	8.8
Markelle Fultz	SAC	SAC vs. GSW	02/21/2025	L	10	8	4	5	80.0	0	0	-	0	0	-	0	0	0	1	0	0	3	0	-2	6.5
Keon Ellis	SAC	SAC vs. GSW	02/21/2025	L	24	2	0	6	0.0	0	4	0.0	2	2	100	2	0	2	1	1	1	1	2	-18	10.9
Zach LaVine	SAC	SAC vs. GSW	02/21/2025	L	34	13	5	12	41.7	2	7	28.6	1	1	100	0	5	5	3	1	0	5	4	-24	21.5
Malik Monk	SAC	SAC vs. GSW	02/21/2025	L	30	13	6	11	54.5	1	4	25.0	0	0	-	0	0	0	4	1	1	2	2	-11	23.0
Domantas Sabonis	SAC	SAC vs. GSW	02/21/2025	L	32	14	6	10	60.0	1	3	33.3	1	2	50.0	3	11	14	9	1	0	4	1	-2	43.3
DeMar DeRozan	SAC	SAC vs. GSW	02/21/2025	L	34	34	10	14	71.4	4	7	57.1	10	10	100	0	4	4	6	1	0	1	1	-8	49.8
Keon Ellis	SAC	SAC @ NOP	02/13/2025	L	23	7	3	10	30.0	1	4	25.0	0	0	-	1	2	3	1	1	0	0	1	-11	15.1
Jake LaRavia	SAC	SAC @ NOP	02/13/2025	L	11	3	1	4	25.0	1	3	33.3	0	0	-	0	1	1	0	1	0	1	1	-3	6.2
DeMar DeRozan	SAC	SAC @ NOP	02/13/2025	L	43	20	5	16	31.3	1	4	25.0	9	9	100	0	4	4	5	0	0	0	4	-2	32.3
