PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Chris Paul	SAS	SAS vs. BKN	03/04/2025	W	29	11	4	5	80.0	3	3	100	0	0	-	0	0	0	7	2	0	0	1	31	27.5
Bismack Biyombo	SAS	SAS vs. BKN	03/04/2025	W	26	13	6	10	60.0	0	0	-	1	2	50.0	3	11	14	3	1	2	2	3	17	41.3
Harrison Barnes	SAS	SAS vs. BKN	03/04/2025	W	22	9	3	6	50.0	2	5	40.0	1	1	100	0	2	2	3	0	0	2	0	16	13.9
Devin Vassell	SAS	SAS vs. BKN	03/04/2025	W	35	37	14	20	70.0	8	11	72.7	1	1	100	2	9	11	5	4	1	2	2	34	70.7
De'Aaron Fox	SAS	SAS vs. BKN	03/04/2025	W	27	15	7	12	58.3	1	3	33.3	0	0	-	1	2	3	7	0	0	1	0	3	28.1
Keldon Johnson	SAS	SAS vs. BKN	03/04/2025	W	27	15	6	14	42.9	1	5	20.0	2	2	100	4	4	8	1	0	0	2	1	3	24.1
Julian Champagnie	SAS	SAS vs. BKN	03/04/2025	W	19	8	3	8	37.5	2	6	33.3	0	0	-	1	0	1	2	0	0	1	3	-18	11.2
Jeremy Sochan	SAS	SAS vs. BKN	03/04/2025	W	22	2	1	4	25.0	0	1	0.0	0	0	-	0	2	2	3	0	1	0	4	-5	11.9
Stephon Castle	SAS	SAS vs. BKN	03/04/2025	W	27	17	8	15	53.3	1	5	20.0	0	4	0.0	2	2	4	6	2	0	3	1	-2	33.8
Stephon Castle	SAS	SAS vs. OKC	03/02/2025	L	32	32	12	21	57.1	4	10	40.0	4	7	57.1	4	4	8	3	0	0	4	2	0	42.1
Devin Vassell	SAS	SAS vs. OKC	03/02/2025	L	33	15	7	16	43.8	1	7	14.3	0	0	-	0	3	3	5	1	1	0	1	-25	32.1
De'Aaron Fox	SAS	SAS vs. OKC	03/02/2025	L	34	20	8	18	44.4	2	8	25.0	2	2	100	0	4	4	4	0	0	1	3	-22	29.8
Jeremy Sochan	SAS	SAS vs. OKC	03/02/2025	L	25	17	7	9	77.8	1	2	50.0	2	2	100	0	4	4	4	1	1	3	1	0	30.8
Julian Champagnie	SAS	SAS vs. OKC	03/02/2025	L	11	8	3	4	75.0	2	3	66.7	0	0	-	0	0	0	2	0	0	1	0	5	10.0
Keldon Johnson	SAS	SAS vs. OKC	03/02/2025	L	19	7	3	5	60.0	1	2	50.0	0	0	-	0	6	6	5	0	0	2	5	2	19.7
Harrison Barnes	SAS	SAS vs. OKC	03/02/2025	L	29	14	5	9	55.6	3	5	60.0	1	2	50.0	0	1	1	2	0	0	0	1	-15	18.2
Bismack Biyombo	SAS	SAS vs. OKC	03/02/2025	L	18	2	1	2	50.0	0	0	-	0	0	-	2	2	4	2	0	0	0	2	-19	9.8
Chris Paul	SAS	SAS vs. OKC	03/02/2025	L	28	6	2	2	100	2	2	100	0	0	-	0	3	3	6	0	1	1	1	-21	20.6
Julian Champagnie	SAS	SAS @ MEM	03/01/2025	W	23	14	5	8	62.5	3	5	60.0	1	1	100	2	5	7	2	1	0	0	0	28	28.4
Jeremy Sochan	SAS	SAS @ MEM	03/01/2025	W	30	18	7	9	77.8	1	1	100	3	4	75.0	7	4	11	3	1	0	2	2	-1	36.7
Stephon Castle	SAS	SAS @ MEM	03/01/2025	W	32	24	8	16	50.0	2	6	33.3	6	6	100	0	3	3	7	1	0	1	4	13	40.1
Keldon Johnson	SAS	SAS @ MEM	03/01/2025	W	30	15	6	13	46.2	2	3	66.7	1	4	25.0	3	3	6	1	1	1	0	1	13	29.7
De'Aaron Fox	SAS	SAS @ MEM	03/01/2025	W	35	20	7	17	41.2	1	5	20.0	5	5	100	0	3	3	7	1	1	3	3	-2	37.1
Bismack Biyombo	SAS	SAS @ MEM	03/01/2025	W	18	6	3	4	75.0	0	0	-	0	0	-	0	3	3	1	1	1	1	3	3	16.1
Devin Vassell	SAS	SAS @ MEM	03/01/2025	W	33	20	9	19	47.4	2	9	22.2	0	1	0.0	0	6	6	3	1	1	1	3	-21	36.7
Chris Paul	SAS	SAS @ MEM	03/01/2025	W	20	8	3	5	60.0	2	4	50.0	0	1	0.0	1	2	3	8	1	0	2	2	-12	24.6
Harrison Barnes	SAS	SAS @ MEM	03/01/2025	W	18	5	2	5	40.0	1	3	33.3	0	0	-	0	0	0	1	0	0	1	0	-11	5.5
