PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Jakob Poeltl	TOR	TOR @ ORL	03/04/2025	W	24	17	6	8	75.0	0	0	-	5	5	100	2	5	7	2	2	1	0	5	14	37.4
Immanuel Quickley	TOR	TOR @ ORL	03/04/2025	W	26	15	4	9	44.4	2	4	50.0	5	7	71.4	0	4	4	4	0	0	3	2	2	22.8
Scottie Barnes	TOR	TOR @ ORL	03/04/2025	W	30	17	6	13	46.2	1	5	20.0	4	5	80.0	5	8	13	5	3	1	4	2	2	48.1
A.J. Lawson	TOR	TOR @ ORL	03/04/2025	W	26	13	5	6	83.3	3	4	75.0	0	0	-	0	2	2	1	0	2	0	3	-8	22.9
Jamal Shead	TOR	TOR @ ORL	03/04/2025	W	22	8	3	10	30.0	1	4	25.0	1	1	100	0	1	1	5	1	0	3	5	-1	16.7
Ja'Kobe Walter	TOR	TOR @ ORL	03/04/2025	W	28	17	4	10	40.0	2	4	50.0	7	8	87.5	1	2	3	0	1	1	4	1	4	22.6
Orlando Robinson	TOR	TOR @ ORL	03/04/2025	W	24	2	1	3	33.3	0	0	-	0	0	-	4	1	5	2	0	1	3	2	-13	11.0
Jared Rhoden	TOR	TOR @ ORL	03/04/2025	W	21	4	2	5	40.0	0	3	0.0	0	0	-	0	2	2	0	0	1	0	2	0	9.4
RJ Barrett	TOR	TOR @ ORL	03/04/2025	W	32	21	7	14	50.0	3	6	50.0	4	9	44.4	0	8	8	9	0	1	2	2	3	45.1
Ja'Kobe Walter	TOR	TOR @ ORL	03/02/2025	W	31	7	2	4	50.0	1	2	50.0	2	2	100	1	3	4	1	1	0	2	2	-1	14.3
A.J. Lawson	TOR	TOR @ ORL	03/02/2025	W	14	0	0	2	0.0	0	0	-	0	0	-	0	0	0	0	0	0	1	2	16	-1.0
Scottie Barnes	TOR	TOR @ ORL	03/02/2025	W	29	10	5	12	41.7	0	0	-	0	0	-	1	2	3	4	1	1	2	5	-5	23.6
Immanuel Quickley	TOR	TOR @ ORL	03/02/2025	W	33	24	8	19	42.1	2	7	28.6	6	6	100	1	1	2	4	0	0	1	3	2	31.4
Jakob Poeltl	TOR	TOR @ ORL	03/02/2025	W	26	16	6	10	60.0	0	0	-	4	5	80.0	6	5	11	3	1	1	1	5	10	38.7
Jonathan Mogbo	TOR	TOR @ ORL	03/02/2025	W	19	5	2	4	50.0	0	1	0.0	1	2	50.0	1	4	5	1	2	1	0	3	7	21.5
Jamal Shead	TOR	TOR @ ORL	03/02/2025	W	17	12	4	8	50.0	2	5	40.0	2	3	66.7	1	1	2	4	2	0	1	2	10	25.4
Gradey Dick	TOR	TOR @ ORL	03/02/2025	W	16	2	1	4	25.0	0	1	0.0	0	0	-	0	1	1	0	0	0	0	2	-8	3.2
Orlando Robinson	TOR	TOR @ ORL	03/02/2025	W	21	6	2	4	50.0	0	1	0.0	2	2	100	1	6	7	0	0	1	1	6	-6	16.4
RJ Barrett	TOR	TOR @ ORL	03/02/2025	W	33	22	7	13	53.8	2	5	40.0	6	10	60.0	0	5	5	5	1	0	5	3	-15	33.5
Jakob Poeltl	TOR	TOR @ CHI	02/28/2025	L	22	10	5	7	71.4	0	0	-	0	0	-	1	3	4	3	2	0	3	1	12	22.3
