PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Walker Kessler	UTA	UTA vs. DET	03/03/2025	L	28	14	7	9	77.8	0	0	-	0	0	-	4	5	9	1	0	1	2	3	-22	27.3
Keyonte George	UTA	UTA vs. DET	03/03/2025	L	29	12	4	10	40.0	3	6	50.0	1	1	100	0	3	3	3	0	0	2	2	-22	18.1
Cody Williams	UTA	UTA vs. DET	03/03/2025	L	16	6	1	3	33.3	0	1	0.0	4	5	80.0	1	0	1	3	0	0	3	2	-11	8.7
Svi Mykhailiuk	UTA	UTA vs. DET	03/03/2025	L	15	8	3	4	75.0	1	2	50.0	1	1	100	0	2	2	4	0	0	2	2	9	14.4
Collin Sexton	UTA	UTA vs. DET	03/03/2025	L	20	16	5	12	41.7	0	3	0.0	6	6	100	0	1	1	3	3	0	2	1	-4	28.7
Brice Sensabaugh	UTA	UTA vs. DET	03/03/2025	L	16	0	0	5	0.0	0	4	0.0	0	0	-	0	2	2	0	0	0	5	1	-2	-2.6
Isaiah Collier	UTA	UTA vs. DET	03/03/2025	L	32	11	4	12	33.3	0	2	0.0	3	4	75.0	0	3	3	2	2	0	3	2	-22	20.6
Kyle Filipowski	UTA	UTA vs. DET	03/03/2025	L	24	25	7	13	53.8	4	7	57.1	7	8	87.5	0	8	8	1	0	0	4	4	-11	32.1
Johnny Juzang	UTA	UTA vs. DET	03/03/2025	L	23	8	2	8	25.0	2	7	28.6	2	2	100	1	3	4	0	2	0	0	1	-16	18.8
Jaden Springer	UTA	UTA vs. DET	03/03/2025	L	14	0	0	2	0.0	0	1	0.0	0	0	-	1	2	3	1	0	0	2	0	-23	3.1
KJ Martin	UTA	UTA vs. DET	03/03/2025	L	18	5	2	2	100	0	0	-	1	3	33.3	1	1	2	0	0	0	1	4	-11	6.4
Isaiah Collier	UTA	UTA vs. NOP	03/02/2025	L	29	11	3	8	37.5	0	2	0.0	5	5	100	0	2	2	8	1	2	0	2	-22	34.4
Cody Williams	UTA	UTA vs. NOP	03/02/2025	L	17	5	2	4	50.0	1	1	100	0	0	-	0	0	0	1	0	0	0	0	9	6.5
Keyonte George	UTA	UTA vs. NOP	03/02/2025	L	31	28	9	21	42.9	5	11	45.5	5	6	83.3	0	3	3	6	0	0	3	1	-2	37.6
Oscar Tshiebwe	UTA	UTA vs. NOP	03/02/2025	L	20	16	8	9	88.9	0	0	-	0	0	-	4	9	13	1	1	0	0	1	25	36.1
Micah Potter	UTA	UTA vs. NOP	03/02/2025	L	22	8	3	7	42.9	2	6	33.3	0	0	-	1	5	6	3	1	1	0	0	4	25.7
Jaden Springer	UTA	UTA vs. NOP	03/02/2025	L	18	7	2	4	50.0	1	2	50.0	2	4	50.0	0	0	0	3	0	1	0	3	11	14.5
Kyle Filipowski	UTA	UTA vs. NOP	03/02/2025	L	28	12	5	12	41.7	2	4	50.0	0	1	0.0	2	9	11	7	0	0	3	2	-32	32.7
Brice Sensabaugh	UTA	UTA vs. NOP	03/02/2025	L	31	21	9	18	50.0	3	9	33.3	0	0	-	1	1	2	4	0	0	1	0	-16	28.4
Johnny Juzang	UTA	UTA vs. NOP	03/02/2025	L	18	8	3	9	33.3	1	7	14.3	1	1	100	0	2	2	1	0	0	1	2	-3	10.9
KJ Martin	UTA	UTA vs. NOP	03/02/2025	L	26	5	2	4	50.0	1	2	50.0	0	0	-	1	1	2	1	1	0	3	3	-9	8.9
Jaden Springer	UTA	UTA vs. MIN	02/28/2025	W	10	0	0	2	0.0	0	1	0.0	0	0	-	0	1	1	1	0	0	1	1	-1	1.7
Collin Sexton	UTA	UTA vs. MIN	02/28/2025	W	17	13	5	11	45.5	2	4	50.0	1	1	100	0	1	1	3	0	0	0	0	13	18.7
Isaiah Collier	UTA	UTA vs. MIN	02/28/2025	W	30	11	4	8	50.0	0	2	0.0	3	4	75.0	0	3	3	14	0	0	6	1	16	29.6
Kyle Filipowski	UTA	UTA vs. MIN	02/28/2025	W	22	11	5	10	50.0	1	4	25.0	0	1	0.0	5	8	13	2	0	0	5	3	-22	24.6
John Collins	UTA	UTA vs. MIN	02/28/2025	W	27	29	12	18	66.7	3	6	50.0	2	3	66.7	3	9	12	1	0	1	3	3	11	44.9
KJ Martin	UTA	UTA vs. MIN	02/28/2025	W	22	11	5	5	100	0	0	-	1	2	50.0	1	3	4	0	1	1	1	0	-8	20.8
Johnny Juzang	UTA	UTA vs. MIN	02/28/2025	W	21	2	1	6	16.7	0	3	0.0	0	0	-	2	4	6	1	1	0	0	1	12	13.7
Keyonte George	UTA	UTA vs. MIN	02/28/2025	W	25	5	2	8	25.0	0	3	0.0	1	1	100	1	3	4	9	0	0	0	0	-23	23.3
Brice Sensabaugh	UTA	UTA vs. MIN	02/28/2025	W	23	17	6	10	60.0	5	8	62.5	0	0	-	0	3	3	2	0	0	3	2	-6	20.6
Cody Williams	UTA	UTA vs. MIN	02/28/2025	W	18	9	3	7	42.9	3	4	75.0	0	0	-	0	0	0	1	0	0	1	2	-10	9.5
Walker Kessler	UTA	UTA vs. MIN	02/28/2025	W	26	9	4	7	57.1	0	0	-	1	2	50.0	3	10	13	1	1	2	0	0	23	35.1
Jordan Clarkson	UTA	UTA vs. SAC	02/26/2025	L	31	2	1	14	7.1	0	8	0.0	0	0	-	0	0	0	6	2	0	3	1	2	14.0
Jaden Springer	UTA	UTA vs. SAC	02/26/2025	L	11	5	2	4	50.0	1	2	50.0	0	0	-	1	0	1	2	3	0	0	1	-6	18.2
Johnny Juzang	UTA	UTA vs. SAC	02/26/2025	L	16	9	3	5	60.0	2	4	50.0	1	2	50.0	1	0	1	0	0	1	0	1	-7	13.2
Walker Kessler	UTA	UTA vs. SAC	02/26/2025	L	34	25	10	10	100	0	0	-	5	7	71.4	2	12	14	5	2	0	0	2	-2	55.3
Cody Williams	UTA	UTA vs. SAC	02/26/2025	L	18	3	1	7	14.3	1	3	33.3	0	0	-	1	1	2	0	0	0	1	2	-21	4.4
KJ Martin	UTA	UTA vs. SAC	02/26/2025	L	34	16	6	10	60.0	2	4	50.0	2	2	100	1	4	5	4	0	0	0	0	5	28.0
Brice Sensabaugh	UTA	UTA vs. SAC	02/26/2025	L	23	12	5	11	45.5	2	7	28.6	0	0	-	0	4	4	0	0	0	1	0	-14	15.8
Kyle Filipowski	UTA	UTA vs. SAC	02/26/2025	L	14	9	3	5	60.0	3	4	75.0	0	2	0.0	0	1	1	3	0	0	1	5	-15	13.7
Keyonte George	UTA	UTA vs. SAC	02/26/2025	L	33	11	4	12	33.3	3	8	37.5	0	0	-	0	3	3	5	0	1	3	0	-13	22.1
Isaiah Collier	UTA	UTA vs. SAC	02/26/2025	L	26	9	3	6	50.0	2	4	50.0	1	4	25.0	1	2	3	7	2	0	0	1	-14	29.1
