PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Khris Middleton	WAS	WAS @ MIA	03/03/2025	L	23	16	6	9	66.7	1	2	50.0	3	4	75.0	0	3	3	3	3	0	1	3	2	32.1
Bilal Coulibaly	WAS	WAS @ MIA	03/03/2025	L	33	3	1	6	16.7	0	2	0.0	1	2	50.0	1	2	3	0	1	0	2	2	-5	7.6
Alex Sarr	WAS	WAS @ MIA	03/03/2025	L	25	9	3	12	25.0	1	4	25.0	2	2	100	1	3	4	3	0	0	0	1	-1	18.3
Marcus Smart	WAS	WAS @ MIA	03/03/2025	L	19	8	2	7	28.6	1	4	25.0	3	4	75.0	0	1	1	1	1	0	3	3	-20	10.7
Richaun Holmes	WAS	WAS @ MIA	03/03/2025	L	20	7	3	6	50.0	0	0	-	1	2	50.0	1	7	8	2	0	0	0	0	-19	19.6
Justin Champagnie	WAS	WAS @ MIA	03/03/2025	L	22	7	2	5	40.0	0	3	0.0	3	3	100	2	6	8	1	0	0	0	2	-18	18.1
Corey Kispert	WAS	WAS @ MIA	03/03/2025	L	21	8	3	8	37.5	1	4	25.0	1	1	100	0	2	2	0	0	0	1	2	-22	9.4
Kyshawn George	WAS	WAS @ MIA	03/03/2025	L	32	10	4	14	28.6	2	8	25.0	0	0	-	0	8	8	5	1	0	3	3	-5	27.1
Bub Carrington	WAS	WAS @ MIA	03/03/2025	L	35	14	5	15	33.3	4	8	50.0	0	0	-	2	3	5	7	1	0	3	1	-6	30.5
Marcus Smart	WAS	WAS @ CHA	03/01/2025	W	20	12	5	9	55.6	2	5	40.0	0	0	-	1	1	2	1	2	0	2	2	2	19.9
Alex Sarr	WAS	WAS @ CHA	03/01/2025	W	26	10	4	11	36.4	2	7	28.6	0	0	-	1	2	3	2	2	0	1	1	3	21.6
Kyshawn George	WAS	WAS @ CHA	03/01/2025	W	35	8	3	10	30.0	2	7	28.6	0	0	-	1	3	4	8	2	1	3	2	9	30.8
Richaun Holmes	WAS	WAS @ CHA	03/01/2025	W	22	15	5	6	83.3	0	0	-	5	5	100	1	8	9	3	1	0	1	2	10	32.3
Justin Champagnie	WAS	WAS @ CHA	03/01/2025	W	22	10	4	6	66.7	1	3	33.3	1	2	50.0	3	5	8	2	2	3	0	0	8	37.6
Corey Kispert	WAS	WAS @ CHA	03/01/2025	W	25	13	5	8	62.5	3	6	50.0	0	0	-	0	5	5	4	0	1	3	0	17	25.0
Khris Middleton	WAS	WAS @ CHA	03/01/2025	W	24	17	5	9	55.6	1	3	33.3	6	6	100	1	4	5	6	2	0	4	1	1	34.0
Bub Carrington	WAS	WAS @ CHA	03/01/2025	W	32	11	3	11	27.3	3	8	37.5	2	2	100	1	4	5	4	1	1	0	1	11	29.0
Bilal Coulibaly	WAS	WAS @ CHA	03/01/2025	W	34	17	6	18	33.3	3	11	27.3	2	2	100	3	4	7	3	1	1	1	1	6	34.9
Kyshawn George	WAS	WAS vs. POR	02/26/2025	L	27	7	2	5	40.0	1	4	25.0	2	2	100	1	4	5	2	1	2	4	5	-13	21.0
Bub Carrington	WAS	WAS vs. POR	02/26/2025	L	26	8	3	6	50.0	1	3	33.3	1	2	50.0	1	7	8	4	2	0	2	0	-12	27.6
Justin Champagnie	WAS	WAS vs. POR	02/26/2025	L	12	0	0	1	0.0	0	1	0.0	0	0	-	1	4	5	1	2	1	3	0	-1	13.5
Richaun Holmes	WAS	WAS vs. POR	02/26/2025	L	19	20	7	7	100	0	0	-	6	6	100	2	3	5	2	0	0	1	4	12	28.0
Marcus Smart	WAS	WAS vs. POR	02/26/2025	L	20	10	4	9	44.4	1	4	25.0	1	2	50.0	0	2	2	3	1	0	2	4	-8	17.9
Tristan Vukcevic	WAS	WAS vs. POR	02/26/2025	L	19	8	3	7	42.9	1	3	33.3	1	2	50.0	0	2	2	1	0	1	2	2	-13	12.9
Khris Middleton	WAS	WAS vs. POR	02/26/2025	L	24	8	3	9	33.3	0	4	0.0	2	4	50.0	0	4	4	5	0	1	0	2	10	23.3
Jordan Poole	WAS	WAS vs. POR	02/26/2025	L	31	24	8	17	47.1	3	9	33.3	5	5	100	2	3	5	3	1	1	2	3	-1	38.5
Corey Kispert	WAS	WAS vs. POR	02/26/2025	L	26	20	6	13	46.2	5	6	83.3	3	4	75.0	0	3	3	1	0	1	0	5	-9	28.1
Bilal Coulibaly	WAS	WAS vs. POR	02/26/2025	L	35	16	7	9	77.8	0	2	0.0	2	6	33.3	0	2	2	3	2	1	3	1	-5	28.9
Marcus Smart	WAS	WAS vs. BKN	02/24/2025	W	22	10	4	6	66.7	0	1	0.0	2	2	100	0	1	1	2	1	0	2	2	2	15.2
Bilal Coulibaly	WAS	WAS vs. BKN	02/24/2025	W	30	20	7	14	50.0	3	4	75.0	3	3	100	1	4	5	2	1	0	3	5	5	29.0
Bub Carrington	WAS	WAS vs. BKN	02/24/2025	W	25	5	2	8	25.0	1	5	20.0	0	0	-	0	1	1	2	0	0	2	4	-7	7.2
Kyshawn George	WAS	WAS vs. BKN	02/24/2025	W	32	12	4	9	44.4	2	5	40.0	2	2	100	0	3	3	5	3	3	5	2	13	36.1
Jordan Poole	WAS	WAS vs. BKN	02/24/2025	W	29	26	8	13	61.5	5	8	62.5	5	5	100	0	4	4	2	0	0	3	1	13	30.8
Khris Middleton	WAS	WAS vs. BKN	02/24/2025	W	26	7	2	6	33.3	1	3	33.3	2	2	100	0	3	3	5	1	1	3	4	16	21.1
Tristan Vukcevic	WAS	WAS vs. BKN	02/24/2025	W	10	6	2	3	66.7	0	1	0.0	2	2	100	0	4	4	0	0	1	1	5	-8	12.8
Justin Champagnie	WAS	WAS vs. BKN	02/24/2025	W	13	6	2	5	40.0	1	2	50.0	1	2	50.0	2	5	7	1	0	0	1	0	5	14.9
Corey Kispert	WAS	WAS vs. BKN	02/24/2025	W	22	4	1	3	33.3	0	2	0.0	2	2	100	1	2	3	3	0	0	2	2	-6	10.1
Richaun Holmes	WAS	WAS vs. BKN	02/24/2025	W	30	11	3	3	100	0	0	-	5	5	100	3	3	6	4	1	3	2	1	7	34.2
Jordan Poole	WAS	WAS @ ORL	02/23/2025	L	28	16	6	16	37.5	3	9	33.3	1	2	50.0	0	3	3	4	2	0	2	5	-22	29.6
Kyshawn George	WAS	WAS @ ORL	02/23/2025	L	27	9	3	10	30.0	3	7	42.9	0	2	0.0	0	2	2	3	0	1	2	4	-9	16.9
Tristan Vukcevic	WAS	WAS @ ORL	02/23/2025	L	19	12	4	6	66.7	1	3	33.3	3	4	75.0	0	5	5	2	1	0	3	2	-6	21.0
Corey Kispert	WAS	WAS @ ORL	02/23/2025	L	29	9	3	12	25.0	1	6	16.7	2	3	66.7	0	1	1	1	0	0	2	1	-20	9.7
Justin Champagnie	WAS	WAS @ ORL	02/23/2025	L	31	6	1	7	14.3	1	5	20.0	3	3	100	3	3	6	0	0	1	0	3	-13	16.2
Bub Carrington	WAS	WAS @ ORL	02/23/2025	L	29	13	5	9	55.6	0	4	0.0	3	3	100	0	5	5	4	0	0	2	1	-5	23.0
Bilal Coulibaly	WAS	WAS @ ORL	02/23/2025	L	35	11	4	11	36.4	0	3	0.0	3	3	100	0	2	2	6	1	0	5	3	-11	20.4
Richaun Holmes	WAS	WAS @ ORL	02/23/2025	L	29	11	5	6	83.3	0	0	-	1	2	50.0	1	9	10	1	0	2	4	4	-14	26.5
Jordan Poole	WAS	WAS vs. MIL	02/21/2025	L	31	11	3	11	27.3	0	5	0.0	5	6	83.3	1	1	2	5	0	0	1	3	-3	19.9
Bilal Coulibaly	WAS	WAS vs. MIL	02/21/2025	L	31	7	3	7	42.9	0	3	0.0	1	1	100	3	2	5	4	0	0	1	3	1	18.0
Alex Sarr	WAS	WAS vs. MIL	02/21/2025	L	26	22	8	19	42.1	4	10	40.0	2	6	33.3	1	6	7	1	2	1	2	4	-3	38.9
Kyshawn George	WAS	WAS vs. MIL	02/21/2025	L	34	4	1	11	9.1	1	5	20.0	1	2	50.0	1	8	9	5	1	2	0	3	-3	31.3
Khris Middleton	WAS	WAS vs. MIL	02/21/2025	L	25	12	4	10	40.0	1	4	25.0	3	3	100	0	5	5	2	2	0	2	2	0	25.0
Marcus Smart	WAS	WAS vs. MIL	02/21/2025	L	17	5	2	3	66.7	1	1	100	0	0	-	0	1	1	1	2	0	1	0	0	12.7
Richaun Holmes	WAS	WAS vs. MIL	02/21/2025	L	19	7	2	4	50.0	0	0	-	3	4	75.0	2	4	6	3	0	1	2	3	1	19.7
Corey Kispert	WAS	WAS vs. MIL	02/21/2025	L	23	16	6	11	54.5	4	7	57.1	0	0	-	0	2	2	2	0	0	2	1	0	19.4
Bub Carrington	WAS	WAS vs. MIL	02/21/2025	L	23	8	3	7	42.9	0	2	0.0	2	2	100	0	3	3	2	1	0	0	1	-3	17.6
Malcolm Brogdon	WAS	WAS vs. IND	02/12/2025	L	15	12	5	9	55.6	0	0	-	2	2	100	0	0	0	6	0	0	1	0	3	20.0
Alex Sarr	WAS	WAS vs. IND	02/12/2025	L	32	9	3	13	23.1	2	6	33.3	1	2	50.0	0	6	6	4	0	2	1	1	0	27.2
Richaun Holmes	WAS	WAS vs. IND	02/12/2025	L	19	5	2	2	100	0	0	-	1	1	100	2	5	7	0	0	2	1	1	-5	18.4
Corey Kispert	WAS	WAS vs. IND	02/12/2025	L	27	21	8	10	80.0	5	6	83.3	0	0	-	0	4	4	0	0	0	1	1	3	24.8
AJ Johnson	WAS	WAS vs. IND	02/12/2025	L	10	3	1	2	50.0	1	2	50.0	0	0	-	0	0	0	0	0	0	1	0	10	2.0
Jordan Poole	WAS	WAS vs. IND	02/12/2025	L	41	42	15	29	51.7	6	15	40.0	6	6	100	0	5	5	5	2	1	4	5	-8	60.5
Bilal Coulibaly	WAS	WAS vs. IND	02/12/2025	L	36	3	1	8	12.5	1	4	25.0	0	2	0.0	1	4	5	8	0	0	2	3	-6	19.0
Bub Carrington	WAS	WAS vs. IND	02/12/2025	L	45	18	6	11	54.5	4	6	66.7	2	2	100	1	7	8	5	2	1	3	5	0	41.1
Kyshawn George	WAS	WAS vs. IND	02/12/2025	L	36	14	5	10	50.0	3	4	75.0	1	1	100	3	6	9	1	1	0	2	4	-13	27.3
Malcolm Brogdon	WAS	WAS vs. SAS	02/10/2025	L	19	11	5	10	50.0	0	1	0.0	1	1	100	1	4	5	5	1	0	1	1	9	26.5
Justin Champagnie	WAS	WAS vs. SAS	02/10/2025	L	18	14	5	6	83.3	2	2	100	2	2	100	3	2	5	1	0	1	0	2	17	24.5
Corey Kispert	WAS	WAS vs. SAS	02/10/2025	L	24	14	5	11	45.5	3	8	37.5	1	1	100	0	2	2	2	0	0	2	3	8	17.4
Tristan Vukcevic	WAS	WAS vs. SAS	02/10/2025	L	20	18	7	10	70.0	2	3	66.7	2	2	100	0	6	6	2	1	1	1	2	13	33.2
Bub Carrington	WAS	WAS vs. SAS	02/10/2025	L	28	10	4	10	40.0	2	8	25.0	0	0	-	1	3	4	5	0	0	3	3	-6	19.3
Richaun Holmes	WAS	WAS vs. SAS	02/10/2025	L	27	17	8	9	88.9	0	1	0.0	1	2	50.0	3	1	4	0	0	1	1	4	-21	23.8
Jordan Poole	WAS	WAS vs. SAS	02/10/2025	L	32	16	4	18	22.2	2	13	15.4	6	6	100	0	6	6	4	1	0	3	3	-24	29.2
Bilal Coulibaly	WAS	WAS vs. SAS	02/10/2025	L	36	10	4	9	44.4	2	5	40.0	0	0	-	2	1	3	4	1	0	1	3	-27	21.6
Kyshawn George	WAS	WAS vs. SAS	02/10/2025	L	36	11	3	10	30.0	1	6	16.7	4	5	80.0	0	7	7	3	1	0	2	2	-19	24.9
Bub Carrington	WAS	WAS vs. ATL	02/08/2025	L	38	23	9	13	69.2	5	7	71.4	0	0	-	1	3	4	7	1	0	2	2	-20	39.3
Corey Kispert	WAS	WAS vs. ATL	02/08/2025	L	35	13	6	13	46.2	1	7	14.3	0	0	-	2	5	7	5	0	0	1	3	-1	27.9
Jordan Poole	WAS	WAS vs. ATL	02/08/2025	L	31	21	8	17	47.1	1	8	12.5	4	4	100	1	4	5	6	1	0	5	5	1	34.0
Malcolm Brogdon	WAS	WAS vs. ATL	02/08/2025	L	23	7	0	6	0.0	0	4	0.0	7	7	100	0	3	3	4	1	0	2	0	-11	17.6
Richaun Holmes	WAS	WAS vs. ATL	02/08/2025	L	30	10	4	6	66.7	0	0	-	2	2	100	1	7	8	2	0	1	1	0	-6	24.6
Justin Champagnie	WAS	WAS vs. ATL	02/08/2025	L	25	10	4	8	50.0	0	1	0.0	2	2	100	3	5	8	0	1	0	4	4	-21	18.6
Tristan Vukcevic	WAS	WAS vs. ATL	02/08/2025	L	14	8	3	6	50.0	1	3	33.3	1	2	50.0	3	5	8	1	1	0	1	0	0	21.1
Bilal Coulibaly	WAS	WAS vs. ATL	02/08/2025	L	35	17	6	20	30.0	1	5	20.0	4	4	100	2	5	7	0	1	1	1	0	-8	30.4
Richaun Holmes	WAS	WAS vs. CLE	02/07/2025	L	31	12	4	7	57.1	0	0	-	4	6	66.7	6	6	12	3	0	1	0	2	-20	33.9
Jordan Poole	WAS	WAS vs. CLE	02/07/2025	L	37	45	16	32	50.0	4	17	23.5	9	11	81.8	2	2	4	5	1	0	3	3	-2	57.3
Corey Kispert	WAS	WAS vs. CLE	02/07/2025	L	28	10	4	10	40.0	2	5	40.0	0	0	-	3	1	4	0	0	0	1	0	-4	13.8
Kyshawn George	WAS	WAS vs. CLE	02/07/2025	L	35	17	6	11	54.5	4	6	66.7	1	2	50.0	1	4	5	2	3	0	2	5	2	33.0
Bub Carrington	WAS	WAS vs. CLE	02/07/2025	L	36	13	5	9	55.6	3	6	50.0	0	0	-	1	3	4	3	0	0	4	1	-25	18.3
Tristan Vukcevic	WAS	WAS vs. CLE	02/07/2025	L	16	7	3	7	42.9	1	3	33.3	0	0	-	0	4	4	4	1	0	1	3	10	19.8
Bilal Coulibaly	WAS	WAS vs. CLE	02/07/2025	L	42	16	6	12	50.0	2	4	50.0	2	6	33.3	3	3	6	4	3	0	2	2	0	36.2
Bub Carrington	WAS	WAS @ BKN	02/05/2025	W	35	16	5	8	62.5	4	6	66.7	2	2	100	0	4	4	10	1	0	1	1	15	37.8
Corey Kispert	WAS	WAS @ BKN	02/05/2025	W	30	17	7	13	53.8	3	6	50.0	0	0	-	0	2	2	3	0	0	1	4	2	22.9
Justin Champagnie	WAS	WAS @ BKN	02/05/2025	W	17	11	4	8	50.0	2	5	40.0	1	2	50.0	1	1	2	0	0	0	0	2	-2	13.4
Malcolm Brogdon	WAS	WAS @ BKN	02/05/2025	W	17	7	3	6	50.0	1	1	100	0	0	-	1	0	1	1	1	0	1	0	6	11.7
Richaun Holmes	WAS	WAS @ BKN	02/05/2025	W	27	9	4	5	80.0	0	0	-	1	1	100	0	5	5	3	0	1	0	3	17	22.5
Kyshawn George	WAS	WAS @ BKN	02/05/2025	W	30	17	6	8	75.0	5	7	71.4	0	0	-	0	7	7	3	1	1	1	4	17	34.9
Tristan Vukcevic	WAS	WAS @ BKN	02/05/2025	W	19	12	4	9	44.4	2	5	40.0	2	4	50.0	2	4	6	1	0	0	1	3	0	19.7
Bilal Coulibaly	WAS	WAS @ BKN	02/05/2025	W	31	11	5	9	55.6	0	3	0.0	1	1	100	2	8	10	11	2	1	6	2	22	42.5
Jordan Poole	WAS	WAS @ BKN	02/05/2025	W	30	19	6	15	40.0	3	10	30.0	4	4	100	1	2	3	8	1	0	3	2	18	34.6
Jonas Valančiūnas	WAS	WAS @ CHA	02/03/2025	W	29	14	6	14	42.9	0	1	0.0	2	3	66.7	8	9	17	4	0	0	1	4	-4	39.4
Kyle Kuzma	WAS	WAS @ CHA	02/03/2025	W	31	22	8	21	38.1	3	13	23.1	3	3	100	1	3	4	2	1	0	2	1	-7	30.8
Bilal Coulibaly	WAS	WAS @ CHA	02/03/2025	W	37	26	9	16	56.3	4	8	50.0	4	5	80.0	0	5	5	3	2	0	0	2	-5	42.5
Jordan Poole	WAS	WAS @ CHA	02/03/2025	W	32	6	2	11	18.2	2	8	25.0	0	0	-	0	3	3	6	1	2	3	2	-4	24.6
Richaun Holmes	WAS	WAS @ CHA	02/03/2025	W	19	0	0	2	0.0	0	1	0.0	0	0	-	3	7	10	1	0	0	0	3	13	13.5
Malcolm Brogdon	WAS	WAS @ CHA	02/03/2025	W	22	16	4	9	44.4	0	2	0.0	8	10	80.0	1	3	4	7	0	0	2	1	12	29.3
Corey Kispert	WAS	WAS @ CHA	02/03/2025	W	29	25	9	13	69.2	5	9	55.6	2	2	100	2	2	4	4	1	0	2	4	20	36.8
Bub Carrington	WAS	WAS @ CHA	02/03/2025	W	12	4	2	6	33.3	0	3	0.0	0	0	-	1	0	1	1	0	0	0	0	-2	6.7
